"","celltype_gt","celltype","model"
"168","Malignant","Malignant","singleR"
"169","T","Malignant","singleR"
"170","Malignant","Malignant","singleR"
"171","Malignant","Malignant","singleR"
"172","Malignant","Malignant","singleR"
"173","Malignant","Malignant","singleR"
"174","Malignant","Malignant","singleR"
"175","Malignant","Malignant","singleR"
"176","Malignant","Malignant","singleR"
"177","Stromal","Macrophage","singleR"
"178","Malignant","Malignant","singleR"
"179","Macrophage","Malignant","singleR"
"180","Stromal","Stromal","singleR"
"181","Malignant","T","singleR"
"182","Malignant","Malignant","singleR"
"183","T","T","singleR"
"184","Macrophage","Malignant","singleR"
"185","Malignant","Malignant","singleR"
"186","Malignant","Malignant","singleR"
"187","Plasma","Macrophage","singleR"
"188","Stromal","Malignant","singleR"
"189","Malignant","Malignant","singleR"
"190","B","T","singleR"
"191","Plasma","Stromal","singleR"
"192","Malignant","Malignant","singleR"
"193","Malignant","Malignant","singleR"
"194","Malignant","Malignant","singleR"
"195","Malignant","Macrophage","singleR"
"196","Malignant","Malignant","singleR"
"197","Malignant","Malignant","singleR"
"198","Malignant","Malignant","singleR"
"199","Malignant","Malignant","singleR"
"200","DC_Mast","T","singleR"
"201","Macrophage","Macrophage","singleR"
"202","Malignant","Malignant","singleR"
"203","Malignant","Malignant","singleR"
"204","Myoepi","Myoepi","singleR"
"205","Malignant","Malignant","singleR"
"206","Malignant","Malignant","singleR"
"207","T","Malignant","singleR"
"208","Stromal","Macrophage","singleR"
"209","Macrophage","Macrophage","singleR"
"210","Malignant","Malignant","singleR"
"211","Stromal","Stromal","singleR"
"212","Malignant","Malignant","singleR"
"213","Malignant","Malignant","singleR"
"214","Malignant","Malignant","singleR"
"215","Stromal","Stromal","singleR"
"216","Macrophage","T","singleR"
"217","Plasma","Macrophage","singleR"
"218","T","T","singleR"
"219","Myoepi","Myoepi","singleR"
"220","Malignant","Malignant","singleR"
"221","Malignant","Malignant","singleR"
"222","Malignant","Malignant","singleR"
"223","T","DC_Mast","singleR"
"224","Malignant","Myoepi","singleR"
"225","Malignant","Malignant","singleR"
"226","DC_Mast","DC_Mast","singleR"
"227","Myoepi","Myoepi","singleR"
"228","T","T","singleR"
"229","Macrophage","T","singleR"
"230","DC_Mast","T","singleR"
"231","Stromal","DC_Mast","singleR"
"232","Stromal","Stromal","singleR"
"233","Macrophage","Stromal","singleR"
"234","T","T","singleR"
"235","Malignant","Myoepi","singleR"
"236","Malignant","Malignant","singleR"
"237","T","T","singleR"
"238","Malignant","Malignant","singleR"
"239","Macrophage","Stromal","singleR"
"240","Macrophage","Macrophage","singleR"
"241","Malignant","Myoepi","singleR"
"242","Malignant","Malignant","singleR"
"243","Macrophage","Macrophage","singleR"
"244","T","Myoepi","singleR"
"245","Malignant","Malignant","singleR"
"246","Malignant","Malignant","singleR"
"247","Plasma","Plasma","singleR"
"248","Malignant","Malignant","singleR"
"249","Malignant","Malignant","singleR"
"250","Myoepi","Malignant","singleR"
"251","T","T","singleR"
"252","Malignant","Malignant","singleR"
"253","Malignant","Malignant","singleR"
"254","T","Malignant","singleR"
"255","Stromal","Stromal","singleR"
"256","Malignant","Malignant","singleR"
"257","Macrophage","Myoepi","singleR"
"258","Malignant","Malignant","singleR"
"259","Myoepi","Malignant","singleR"
"260","Malignant","Malignant","singleR"
"261","Macrophage","Macrophage","singleR"
"262","Malignant","Malignant","singleR"
"263","Malignant","Malignant","singleR"
"264","Malignant","Malignant","singleR"
"265","Malignant","Malignant","singleR"
"266","Malignant","Malignant","singleR"
"267","Malignant","Malignant","singleR"
"268","Malignant","Malignant","singleR"
"269","Malignant","Malignant","singleR"
"270","Malignant","Malignant","singleR"
"271","Malignant","Malignant","singleR"
"272","Malignant","Malignant","singleR"
"273","Malignant","Myoepi","singleR"
"274","T","Malignant","singleR"
"275","Malignant","Malignant","singleR"
"276","Malignant","Malignant","singleR"
"277","Malignant","Malignant","singleR"
"278","Malignant","Malignant","singleR"
"279","Malignant","Malignant","singleR"
"280","Malignant","Malignant","singleR"
"281","T","T","singleR"
"282","Malignant","Myoepi","singleR"
"283","Stromal","Macrophage","singleR"
"284","T","Malignant","singleR"
"285","Stromal","Stromal","singleR"
"286","DC_Mast","T","singleR"
"287","Malignant","Malignant","singleR"
"288","B","T","singleR"
"289","Malignant","Malignant","singleR"
"290","Malignant","Malignant","singleR"
"291","Malignant","Malignant","singleR"
"292","Malignant","Malignant","singleR"
"293","Malignant","Malignant","singleR"
"294","Malignant","Malignant","singleR"
"295","Malignant","Malignant","singleR"
"296","Malignant","Malignant","singleR"
"297","Malignant","Malignant","singleR"
"298","B","Plasma","singleR"
"299","Myoepi","Stromal","singleR"
"300","Stromal","Stromal","singleR"
"301","Malignant","Stromal","singleR"
"302","Malignant","Malignant","singleR"
"303","Malignant","Malignant","singleR"
"304","Malignant","Malignant","singleR"
"305","Malignant","Malignant","singleR"
"306","Malignant","Malignant","singleR"
"307","T","Stromal","singleR"
"308","Malignant","Malignant","singleR"
"309","Stromal","Stromal","singleR"
"310","Malignant","Malignant","singleR"
"311","Malignant","Malignant","singleR"
"312","T","T","singleR"
"313","Macrophage","T","singleR"
"314","Malignant","Malignant","singleR"
"315","Malignant","Malignant","singleR"
"316","Malignant","Myoepi","singleR"
"317","Malignant","Malignant","singleR"
"318","Malignant","Malignant","singleR"
"319","Malignant","Malignant","singleR"
"320","Malignant","Myoepi","singleR"
"321","Malignant","Malignant","singleR"
"322","Malignant","Malignant","singleR"
"323","DC_Mast","Macrophage","singleR"
"324","T","T","singleR"
"325","T","Plasma","singleR"
"326","Malignant","Malignant","singleR"
"327","Myoepi","Stromal","singleR"
"328","Stromal","T","singleR"
"329","Malignant","Malignant","singleR"
"330","Malignant","Malignant","singleR"
"331","Malignant","Malignant","singleR"
"332","Malignant","Malignant","singleR"
"333","Stromal","Stromal","singleR"
"334","Malignant","Malignant","singleR"
"335","Malignant","Malignant","singleR"
"336","Malignant","Malignant","singleR"
"337","Malignant","Malignant","singleR"
"338","Malignant","Malignant","singleR"
"339","Macrophage","Malignant","singleR"
"340","Malignant","Malignant","singleR"
"341","Malignant","Malignant","singleR"
"342","Stromal","Stromal","singleR"
"343","Malignant","Malignant","singleR"
"344","Stromal","Stromal","singleR"
"345","Malignant","Malignant","singleR"
"346","Malignant","Stromal","singleR"
"347","Myoepi","Myoepi","singleR"
"348","Malignant","Malignant","singleR"
"349","Malignant","Malignant","singleR"
"350","Malignant","Myoepi","singleR"
"351","Malignant","Malignant","singleR"
"352","Malignant","Malignant","singleR"
"353","Macrophage","Malignant","singleR"
"354","Stromal","Stromal","singleR"
"355","Malignant","Malignant","singleR"
"356","Malignant","Malignant","singleR"
"357","Malignant","Malignant","singleR"
"358","Malignant","Malignant","singleR"
"359","Stromal","Malignant","singleR"
"360","Malignant","Malignant","singleR"
"361","T","T","singleR"
"362","Myoepi","Myoepi","singleR"
"363","Malignant","Malignant","singleR"
"364","Malignant","Malignant","singleR"
"365","Macrophage","Malignant","singleR"
"366","Malignant","Myoepi","singleR"
"367","Malignant","Malignant","singleR"
"368","Stromal","Malignant","singleR"
"369","Stromal","Stromal","singleR"
"370","Plasma","Macrophage","singleR"
"371","Macrophage","Stromal","singleR"
"372","Malignant","Malignant","singleR"
"373","Malignant","Malignant","singleR"
"374","Malignant","Malignant","singleR"
"375","Malignant","Malignant","singleR"
"376","Malignant","Malignant","singleR"
"377","Malignant","Malignant","singleR"
"378","Malignant","Malignant","singleR"
"379","Stromal","Stromal","singleR"
"380","Malignant","Malignant","singleR"
"381","DC_Mast","T","singleR"
"382","Malignant","Malignant","singleR"
"383","Malignant","Malignant","singleR"
"384","Malignant","Malignant","singleR"
"385","Macrophage","Malignant","singleR"
"386","Malignant","Malignant","singleR"
"387","Myoepi","Malignant","singleR"
"388","Malignant","Myoepi","singleR"
"389","Malignant","Malignant","singleR"
"390","Malignant","Malignant","singleR"
"391","Malignant","Malignant","singleR"
"392","Malignant","Malignant","singleR"
"393","Malignant","Myoepi","singleR"
"394","Malignant","Malignant","singleR"
"395","Malignant","Macrophage","singleR"
"396","Malignant","Malignant","singleR"
"397","Malignant","Malignant","singleR"
"398","Malignant","Malignant","singleR"
"399","Malignant","Malignant","singleR"
"400","Malignant","Malignant","singleR"
"401","Malignant","Myoepi","singleR"
"402","Malignant","Myoepi","singleR"
"403","Malignant","Malignant","singleR"
"404","Malignant","Malignant","singleR"
"405","Malignant","Malignant","singleR"
"406","DC_Mast","T","singleR"
"407","T","T","singleR"
"408","Malignant","Malignant","singleR"
"409","Malignant","Malignant","singleR"
"410","Stromal","Stromal","singleR"
"411","Malignant","Myoepi","singleR"
"412","Macrophage","Macrophage","singleR"
"413","Malignant","Malignant","singleR"
"414","Malignant","Malignant","singleR"
"415","Malignant","Malignant","singleR"
"416","Myoepi","Myoepi","singleR"
"417","Malignant","Malignant","singleR"
"418","Malignant","Malignant","singleR"
"419","Malignant","Malignant","singleR"
"420","T","T","singleR"
"421","T","T","singleR"
"422","Malignant","Malignant","singleR"
"423","T","Myoepi","singleR"
"424","T","T","singleR"
"425","Malignant","Malignant","singleR"
"426","T","T","singleR"
"427","Stromal","T","singleR"
"428","T","T","singleR"
"429","T","T","singleR"
"430","T","T","singleR"
"431","DC_Mast","T","singleR"
"432","Macrophage","Macrophage","singleR"
"433","T","DC_Mast","singleR"
"434","Malignant","Malignant","singleR"
"435","Malignant","Malignant","singleR"
"436","Macrophage","Macrophage","singleR"
"437","T","T","singleR"
"438","Stromal","Macrophage","singleR"
"439","T","T","singleR"
"440","Malignant","Malignant","singleR"
"441","T","T","singleR"
"442","T","T","singleR"
"443","Malignant","Malignant","singleR"
"444","Malignant","Malignant","singleR"
"445","Malignant","Malignant","singleR"
"446","Malignant","Macrophage","singleR"
"447","Macrophage","DC_Mast","singleR"
"448","Stromal","Malignant","singleR"
"449","Malignant","Malignant","singleR"
"450","T","Stromal","singleR"
"451","Malignant","Myoepi","singleR"
"452","Malignant","Myoepi","singleR"
"453","Malignant","Malignant","singleR"
"454","Malignant","Malignant","singleR"
"455","T","T","singleR"
"456","Malignant","Malignant","singleR"
"457","Macrophage","Macrophage","singleR"
"458","Malignant","Malignant","singleR"
"459","Malignant","Malignant","singleR"
"460","Malignant","Malignant","singleR"
"461","Macrophage","Macrophage","singleR"
"462","Malignant","Malignant","singleR"
"463","Malignant","Malignant","singleR"
"464","Malignant","Stromal","singleR"
"465","Malignant","Malignant","singleR"
"466","Malignant","Malignant","singleR"
"467","Plasma","Plasma","singleR"
"468","Malignant","Malignant","singleR"
"469","Malignant","Malignant","singleR"
"470","Malignant","Malignant","singleR"
"471","T","T","singleR"
"472","T","T","singleR"
"473","Malignant","Malignant","singleR"
"474","Macrophage","Macrophage","singleR"
"475","Stromal","Macrophage","singleR"
"476","Malignant","Malignant","singleR"
"477","Malignant","Malignant","singleR"
"478","Stromal","Stromal","singleR"
"479","Malignant","Malignant","singleR"
"480","Malignant","Malignant","singleR"
"481","DC_Mast","T","singleR"
"482","Malignant","Malignant","singleR"
"483","Myoepi","Myoepi","singleR"
"484","Malignant","Malignant","singleR"
"485","Malignant","Malignant","singleR"
"486","Stromal","Macrophage","singleR"
"487","T","T","singleR"
"488","Stromal","Stromal","singleR"
"489","Stromal","Stromal","singleR"
"490","Plasma","Plasma","singleR"
"491","B","T","singleR"
"492","Malignant","Malignant","singleR"
"493","Macrophage","Macrophage","singleR"
"494","Malignant","Malignant","singleR"
"495","T","Stromal","singleR"
"496","Malignant","Malignant","singleR"
"497","Malignant","Malignant","singleR"
"498","Malignant","Malignant","singleR"
"499","Malignant","Malignant","singleR"
"500","Malignant","Myoepi","singleR"
"501","Stromal","Macrophage","singleR"
"502","Stromal","Myoepi","singleR"
"503","Malignant","Malignant","singleR"
"504","Plasma","Plasma","singleR"
"505","Myoepi","Stromal","singleR"
"506","Malignant","Malignant","singleR"
"507","Malignant","Malignant","singleR"
"508","Malignant","Malignant","singleR"
"509","T","Plasma","singleR"
"510","Malignant","Malignant","singleR"
"511","Malignant","Malignant","singleR"
"512","Malignant","Malignant","singleR"
"513","Stromal","Myoepi","singleR"
"514","Stromal","Malignant","singleR"
"515","Macrophage","Malignant","singleR"
"516","T","T","singleR"
"517","Malignant","Malignant","singleR"
"518","Malignant","Malignant","singleR"
"519","Malignant","Myoepi","singleR"
"520","Malignant","Malignant","singleR"
"521","Malignant","Malignant","singleR"
"522","Malignant","Malignant","singleR"
"523","Malignant","Malignant","singleR"
"524","Malignant","Malignant","singleR"
"525","Myoepi","Stromal","singleR"
"526","Stromal","Stromal","singleR"
"527","T","T","singleR"
"528","Malignant","Malignant","singleR"
"529","Malignant","Malignant","singleR"
"530","T","T","singleR"
"531","T","Malignant","singleR"
"532","Malignant","Malignant","singleR"
"533","Malignant","Malignant","singleR"
"534","Malignant","Malignant","singleR"
"535","T","T","singleR"
"536","Stromal","Macrophage","singleR"
"537","Malignant","Malignant","singleR"
"538","T","Malignant","singleR"
"539","Malignant","Malignant","singleR"
"540","Malignant","Malignant","singleR"
"541","Malignant","Malignant","singleR"
"542","Malignant","Myoepi","singleR"
"543","T","Malignant","singleR"
"544","Stromal","Stromal","singleR"
"545","Malignant","Malignant","singleR"
"546","T","Malignant","singleR"
"547","Stromal","Stromal","singleR"
"548","Malignant","Malignant","singleR"
"549","Malignant","Malignant","singleR"
"550","Malignant","Malignant","singleR"
"551","Malignant","Malignant","singleR"
"552","Malignant","Malignant","singleR"
"553","Malignant","Malignant","singleR"
"554","Stromal","Malignant","singleR"
"555","Malignant","Malignant","singleR"
"556","Malignant","Malignant","singleR"
"557","Malignant","Malignant","singleR"
"558","Malignant","Malignant","singleR"
"559","Malignant","Malignant","singleR"
"560","Malignant","Malignant","singleR"
"561","T","T","singleR"
"562","Stromal","Malignant","singleR"
"563","Malignant","Malignant","singleR"
"564","Malignant","Malignant","singleR"
"565","T","T","singleR"
"566","Malignant","Malignant","singleR"
"567","Malignant","Malignant","singleR"
"568","Malignant","Myoepi","singleR"
"569","Malignant","Malignant","singleR"
"570","Stromal","Stromal","singleR"
"571","Malignant","Myoepi","singleR"
"572","T","T","singleR"
"573","Malignant","Malignant","singleR"
"574","Myoepi","Malignant","singleR"
"575","Malignant","Malignant","singleR"
"576","T","Stromal","singleR"
"577","Malignant","Malignant","singleR"
"578","Malignant","Myoepi","singleR"
"579","Malignant","Malignant","singleR"
"580","T","Macrophage","singleR"
"581","T","Malignant","singleR"
"582","Malignant","Malignant","singleR"
"583","Malignant","Malignant","singleR"
"584","Plasma","Plasma","singleR"
"585","Stromal","Stromal","singleR"
"586","Malignant","Malignant","singleR"
"587","Macrophage","Macrophage","singleR"
"588","Stromal","Stromal","singleR"
"589","Macrophage","Macrophage","singleR"
"590","Malignant","Malignant","singleR"
"591","Malignant","Malignant","singleR"
"592","Stromal","Myoepi","singleR"
"593","T","T","singleR"
"594","Stromal","Stromal","singleR"
"595","Stromal","Malignant","singleR"
"596","T","T","singleR"
"597","Malignant","Malignant","singleR"
"598","Macrophage","Malignant","singleR"
"599","Macrophage","Malignant","singleR"
"600","Stromal","Stromal","singleR"
"601","Stromal","Stromal","singleR"
"602","Malignant","Malignant","singleR"
"603","Malignant","Malignant","singleR"
"604","Malignant","Myoepi","singleR"
"605","T","T","singleR"
"606","Malignant","Malignant","singleR"
"607","Malignant","Malignant","singleR"
"608","Stromal","Stromal","singleR"
"609","Malignant","Malignant","singleR"
"610","Malignant","Malignant","singleR"
"611","Malignant","Macrophage","singleR"
"612","Stromal","Stromal","singleR"
"613","Malignant","Stromal","singleR"
"614","Malignant","Malignant","singleR"
"615","Malignant","Malignant","singleR"
"616","Malignant","Malignant","singleR"
"617","Malignant","Malignant","singleR"
"618","T","T","singleR"
"619","Malignant","Malignant","singleR"
"620","T","T","singleR"
"621","Malignant","Malignant","singleR"
"622","T","T","singleR"
"623","Stromal","Stromal","singleR"
"624","Malignant","Malignant","singleR"
"625","Malignant","Malignant","singleR"
"626","T","T","singleR"
"627","T","T","singleR"
"628","T","T","singleR"
"629","Malignant","Malignant","singleR"
"630","T","DC_Mast","singleR"
"631","Malignant","Malignant","singleR"
"632","Myoepi","Malignant","singleR"
"633","Malignant","Myoepi","singleR"
"634","T","T","singleR"
"635","T","Myoepi","singleR"
"636","DC_Mast","T","singleR"
"637","Macrophage","Macrophage","singleR"
"638","T","T","singleR"
"639","Malignant","Malignant","singleR"
"640","Malignant","Malignant","singleR"
"641","T","T","singleR"
"642","Malignant","Malignant","singleR"
"643","Malignant","Malignant","singleR"
"644","Malignant","Malignant","singleR"
"645","Myoepi","Malignant","singleR"
"646","Stromal","Stromal","singleR"
"647","Myoepi","Stromal","singleR"
"648","Malignant","Malignant","singleR"
"649","Malignant","Malignant","singleR"
"650","Malignant","Malignant","singleR"
"651","Malignant","Malignant","singleR"
"652","Malignant","Malignant","singleR"
"653","Malignant","Malignant","singleR"
"654","Malignant","Malignant","singleR"
"655","Malignant","Malignant","singleR"
"656","Stromal","Stromal","singleR"
"657","Malignant","Myoepi","singleR"
"658","Myoepi","Myoepi","singleR"
"659","Malignant","Malignant","singleR"
"660","Malignant","Malignant","singleR"
"661","Malignant","Malignant","singleR"
"662","Macrophage","Malignant","singleR"
"663","T","Stromal","singleR"
"664","Malignant","Malignant","singleR"
"665","Malignant","Malignant","singleR"
"666","Malignant","Malignant","singleR"
"667","Malignant","Malignant","singleR"
"668","Myoepi","Myoepi","singleR"
"669","Malignant","Malignant","singleR"
"670","Malignant","Malignant","singleR"
"671","Malignant","Malignant","singleR"
"672","Malignant","Malignant","singleR"
"673","Stromal","Plasma","singleR"
"674","Malignant","Malignant","singleR"
"675","Stromal","Malignant","singleR"
"676","Malignant","Malignant","singleR"
"677","Malignant","Malignant","singleR"
"678","Malignant","Malignant","singleR"
"679","Malignant","Malignant","singleR"
"680","Malignant","Malignant","singleR"
"681","Malignant","Malignant","singleR"
"682","Malignant","Malignant","singleR"
"683","Malignant","Malignant","singleR"
"684","Malignant","Malignant","singleR"
"685","Stromal","Malignant","singleR"
"686","Malignant","Malignant","singleR"
"687","Stromal","Stromal","singleR"
"688","Malignant","Malignant","singleR"
"689","Malignant","Malignant","singleR"
"690","Malignant","Malignant","singleR"
"691","Malignant","Malignant","singleR"
"692","Malignant","Myoepi","singleR"
"693","Malignant","Malignant","singleR"
"694","Malignant","Myoepi","singleR"
"695","Malignant","Malignant","singleR"
"696","Malignant","Malignant","singleR"
"697","Malignant","Malignant","singleR"
"698","Malignant","Malignant","singleR"
"699","Malignant","Malignant","singleR"
"700","Malignant","Malignant","singleR"
"701","Stromal","Stromal","singleR"
"702","T","T","singleR"
"703","Macrophage","Macrophage","singleR"
"704","Malignant","Myoepi","singleR"
"705","Malignant","Malignant","singleR"
"706","Malignant","Malignant","singleR"
"707","Myoepi","Malignant","singleR"
"708","T","T","singleR"
"709","Malignant","Malignant","singleR"
"710","Malignant","Malignant","singleR"
"711","Malignant","Malignant","singleR"
"712","Stromal","Stromal","singleR"
"713","Malignant","Malignant","singleR"
"714","Malignant","Malignant","singleR"
"715","Malignant","Malignant","singleR"
"716","Stromal","Malignant","singleR"
"717","Macrophage","Stromal","singleR"
"718","Malignant","Malignant","singleR"
"719","Malignant","Malignant","singleR"
"720","Macrophage","Malignant","singleR"
"721","Malignant","Malignant","singleR"
"722","Malignant","Malignant","singleR"
"723","Malignant","Malignant","singleR"
"724","Malignant","Malignant","singleR"
"725","Malignant","Malignant","singleR"
"726","Macrophage","Macrophage","singleR"
"727","Stromal","Macrophage","singleR"
"728","Malignant","Malignant","singleR"
"729","Malignant","Malignant","singleR"
"730","Malignant","Malignant","singleR"
"731","Malignant","Malignant","singleR"
"732","Malignant","Myoepi","singleR"
"733","Malignant","Malignant","singleR"
"734","Malignant","Malignant","singleR"
"735","T","Myoepi","singleR"
"736","Stromal","T","singleR"
"737","Macrophage","Malignant","singleR"
"738","Malignant","Malignant","singleR"
"739","Myoepi","Stromal","singleR"
"740","Myoepi","Myoepi","singleR"
"741","Malignant","Malignant","singleR"
"742","Malignant","Malignant","singleR"
"743","Malignant","Malignant","singleR"
"744","Malignant","Malignant","singleR"
"745","Macrophage","Macrophage","singleR"
"746","Malignant","Malignant","singleR"
"747","Malignant","Malignant","singleR"
"748","Stromal","Stromal","singleR"
"749","Stromal","Stromal","singleR"
"750","Malignant","T","singleR"
"751","Malignant","Malignant","singleR"
"752","Malignant","Malignant","singleR"
"753","Myoepi","Stromal","singleR"
"754","Stromal","Stromal","singleR"
"755","Malignant","Malignant","singleR"
"756","Macrophage","Stromal","singleR"
"757","Malignant","Malignant","singleR"
"758","Malignant","Malignant","singleR"
"759","Malignant","Malignant","singleR"
"760","Malignant","Malignant","singleR"
"761","Malignant","Malignant","singleR"
"762","Myoepi","Malignant","singleR"
"763","Malignant","Malignant","singleR"
"764","Malignant","Malignant","singleR"
"765","T","Macrophage","singleR"
"766","Malignant","Malignant","singleR"
"767","Malignant","Malignant","singleR"
"768","Malignant","Malignant","singleR"
"769","Macrophage","Macrophage","singleR"
"770","Malignant","Malignant","singleR"
"771","Malignant","Stromal","singleR"
"772","Malignant","Malignant","singleR"
"773","Malignant","Malignant","singleR"
"774","Stromal","Stromal","singleR"
"775","T","Macrophage","singleR"
"776","Malignant","Malignant","singleR"
"777","Malignant","Malignant","singleR"
"778","T","T","singleR"
"779","Malignant","Malignant","singleR"
"780","Stromal","Malignant","singleR"
"781","Stromal","Stromal","singleR"
"782","T","Macrophage","singleR"
"783","Malignant","Malignant","singleR"
"784","Malignant","Malignant","singleR"
"785","T","T","singleR"
"786","Malignant","Stromal","singleR"
"787","Macrophage","Stromal","singleR"
"788","Malignant","Myoepi","singleR"
"789","Malignant","Plasma","singleR"
"790","Malignant","Malignant","singleR"
"791","Malignant","Stromal","singleR"
"792","Malignant","Malignant","singleR"
"793","Malignant","Malignant","singleR"
"794","Malignant","Malignant","singleR"
"795","Stromal","Macrophage","singleR"
"796","T","DC_Mast","singleR"
