"","celltype_gt","celltype","model"
"110","Stromal","Plasma","sctype"
"111","B","T","sctype"
"112","Malignant","Malignant","sctype"
"113","Malignant","Myoepi","sctype"
"114","Macrophage","Stromal","sctype"
"115","T","T","sctype"
"116","Stromal","Stromal","sctype"
"117","T","T","sctype"
"118","Macrophage","Malignant","sctype"
"119","T","T","sctype"
"120","Malignant","Malignant","sctype"
"121","Malignant","Malignant","sctype"
"122","Malignant","Malignant","sctype"
"123","Plasma","Plasma","sctype"
"124","Malignant","Malignant","sctype"
"125","Malignant","Malignant","sctype"
"126","Malignant","Malignant","sctype"
"127","T","T","sctype"
"128","Malignant","Malignant","sctype"
"129","Malignant","Malignant","sctype"
"130","Stromal","Stromal","sctype"
"131","Malignant","Malignant","sctype"
"132","Stromal","Plasma","sctype"
"133","Macrophage","Macrophage","sctype"
"134","Macrophage","Malignant","sctype"
"135","Malignant","Malignant","sctype"
"136","Malignant","Malignant","sctype"
"137","Malignant","Malignant","sctype"
"138","Malignant","Malignant","sctype"
"139","T","T","sctype"
"140","Malignant","Malignant","sctype"
"141","Malignant","Malignant","sctype"
"142","Macrophage","B","sctype"
"143","T","T","sctype"
"144","Malignant","Malignant","sctype"
"145","Stromal","Macrophage","sctype"
"146","Plasma","Plasma","sctype"
"147","Malignant","Malignant","sctype"
"148","Malignant","Stromal","sctype"
"149","Malignant","Malignant","sctype"
"150","Malignant","Malignant","sctype"
"151","Malignant","Malignant","sctype"
"152","T","T","sctype"
"153","Malignant","Malignant","sctype"
"154","Malignant","Macrophage","sctype"
"155","Malignant","Malignant","sctype"
"156","Stromal","Malignant","sctype"
"157","Malignant","Malignant","sctype"
"158","Malignant","Malignant","sctype"
"159","Malignant","Malignant","sctype"
"160","Stromal","T","sctype"
"161","Malignant","Malignant","sctype"
"162","Malignant","Malignant","sctype"
"163","Stromal","Macrophage","sctype"
"164","Malignant","Malignant","sctype"
"165","Malignant","Malignant","sctype"
"166","Macrophage","Stromal","sctype"
"167","Stromal","Malignant","sctype"
"168","Malignant","Malignant","sctype"
"169","T","Macrophage","sctype"
"170","Malignant","Macrophage","sctype"
"171","Malignant","Malignant","sctype"
"172","Malignant","Malignant","sctype"
"173","Malignant","Malignant","sctype"
"174","Malignant","Macrophage","sctype"
"175","Malignant","Malignant","sctype"
"176","Malignant","Malignant","sctype"
"177","Stromal","Macrophage","sctype"
"178","Malignant","Macrophage","sctype"
"179","Macrophage","Malignant","sctype"
"180","Plasma","Stromal","sctype"
"181","T","T","sctype"
"182","Malignant","Malignant","sctype"
"183","T","T","sctype"
"184","Macrophage","Macrophage","sctype"
"185","Malignant","Malignant","sctype"
"186","Myoepi","Malignant","sctype"
"187","Plasma","Stromal","sctype"
"188","Stromal","Myoepi","sctype"
"189","Malignant","Malignant","sctype"
"190","B","T","sctype"
"191","Plasma","Stromal","sctype"
"192","Malignant","Myoepi","sctype"
"193","Malignant","Malignant","sctype"
"194","Malignant","Malignant","sctype"
"195","T","T","sctype"
"196","Malignant","Malignant","sctype"
"197","T","T","sctype"
"198","T","T","sctype"
"199","Malignant","Malignant","sctype"
"200","B","T","sctype"
"201","Macrophage","Macrophage","sctype"
"202","Malignant","Macrophage","sctype"
"203","Malignant","Malignant","sctype"
"204","Myoepi","Myoepi","sctype"
"205","Malignant","Malignant","sctype"
"206","Malignant","Malignant","sctype"
"207","T","T","sctype"
"208","Stromal","Stromal","sctype"
"209","Macrophage","T","sctype"
"210","Malignant","Malignant","sctype"
"211","Stromal","Stromal","sctype"
"212","Malignant","Macrophage","sctype"
"213","Malignant","Malignant","sctype"
"214","Malignant","Malignant","sctype"
"215","Stromal","Stromal","sctype"
"216","Macrophage","T","sctype"
"217","Plasma","Stromal","sctype"
"218","T","T","sctype"
"219","Myoepi","Myoepi","sctype"
"220","Malignant","Malignant","sctype"
"221","Malignant","Malignant","sctype"
"222","Malignant","Malignant","sctype"
"223","Stromal","T","sctype"
"224","Malignant","Malignant","sctype"
"225","Malignant","Malignant","sctype"
"226","B","B","sctype"
"227","Myoepi","Myoepi","sctype"
"228","T","T","sctype"
"229","T","T","sctype"
"230","B","T","sctype"
"231","T","Plasma","sctype"
"232","Stromal","Stromal","sctype"
"233","Macrophage","Stromal","sctype"
"234","T","T","sctype"
"235","Malignant","Malignant","sctype"
"236","Malignant","Malignant","sctype"
"237","B","T","sctype"
"238","Stromal","Malignant","sctype"
"239","Macrophage","Stromal","sctype"
"240","Macrophage","Macrophage","sctype"
"241","Malignant","Malignant","sctype"
"242","Malignant","Malignant","sctype"
"243","Macrophage","Stromal","sctype"
"244","T","T","sctype"
"245","Malignant","Malignant","sctype"
"246","Malignant","Malignant","sctype"
"247","Plasma","Plasma","sctype"
"248","Malignant","Malignant","sctype"
"249","Malignant","Malignant","sctype"
"250","Myoepi","Myoepi","sctype"
"251","T","T","sctype"
"252","Malignant","Malignant","sctype"
"253","Malignant","Malignant","sctype"
"254","T","T","sctype"
"255","Stromal","Stromal","sctype"
"256","T","Macrophage","sctype"
"257","Macrophage","T","sctype"
"258","Stromal","Malignant","sctype"
"259","Stromal","Macrophage","sctype"
"260","Malignant","Malignant","sctype"
"261","Macrophage","Macrophage","sctype"
"262","Malignant","Malignant","sctype"
"263","Malignant","Macrophage","sctype"
"264","Malignant","Stromal","sctype"
"265","Malignant","Malignant","sctype"
"266","Malignant","Malignant","sctype"
"267","Malignant","Malignant","sctype"
"268","Malignant","Malignant","sctype"
"269","Malignant","Malignant","sctype"
"270","Malignant","Malignant","sctype"
"271","Malignant","Macrophage","sctype"
"272","Malignant","Malignant","sctype"
"273","Stromal","Stromal","sctype"
"274","T","T","sctype"
"275","Malignant","Macrophage","sctype"
"276","Malignant","Malignant","sctype"
"277","Malignant","Malignant","sctype"
"278","Malignant","Macrophage","sctype"
"279","Malignant","Malignant","sctype"
"280","T","T","sctype"
"281","T","T","sctype"
"282","Malignant","Macrophage","sctype"
"283","Stromal","Macrophage","sctype"
"284","T","T","sctype"
"285","Stromal","Stromal","sctype"
"286","B","T","sctype"
"287","Malignant","Malignant","sctype"
"288","B","T","sctype"
"289","Malignant","Malignant","sctype"
"290","Malignant","Malignant","sctype"
"291","Malignant","Malignant","sctype"
"292","Malignant","Malignant","sctype"
"293","Malignant","Macrophage","sctype"
"294","Malignant","Malignant","sctype"
"295","Malignant","Malignant","sctype"
"296","Malignant","Malignant","sctype"
"297","Malignant","Malignant","sctype"
"298","B","B","sctype"
"299","Stromal","Stromal","sctype"
"300","Stromal","Stromal","sctype"
"301","Malignant","Stromal","sctype"
"302","Malignant","Malignant","sctype"
"303","Malignant","Malignant","sctype"
"304","Malignant","Malignant","sctype"
"305","Stromal","Malignant","sctype"
"306","Malignant","Malignant","sctype"
"307","T","Macrophage","sctype"
"308","Malignant","Malignant","sctype"
"309","Stromal","Stromal","sctype"
"310","Malignant","Malignant","sctype"
"311","T","Malignant","sctype"
"312","T","T","sctype"
"313","Macrophage","T","sctype"
"314","Malignant","Malignant","sctype"
"315","Malignant","Malignant","sctype"
"316","Malignant","Myoepi","sctype"
"317","Malignant","Malignant","sctype"
"318","Malignant","Malignant","sctype"
"319","Malignant","Malignant","sctype"
"320","Malignant","Myoepi","sctype"
"321","Malignant","Malignant","sctype"
"322","Malignant","Malignant","sctype"
"323","B","T","sctype"
"324","T","T","sctype"
"325","T","Stromal","sctype"
"326","Malignant","Malignant","sctype"
"327","Stromal","Stromal","sctype"
"328","Stromal","T","sctype"
"329","Malignant","Malignant","sctype"
"330","Malignant","Malignant","sctype"
"331","Malignant","Malignant","sctype"
"332","Malignant","Malignant","sctype"
"333","Stromal","Stromal","sctype"
"334","Malignant","Macrophage","sctype"
"335","Malignant","Malignant","sctype"
"336","Malignant","Malignant","sctype"
"337","Malignant","Malignant","sctype"
"338","Malignant","Malignant","sctype"
"339","Malignant","Macrophage","sctype"
"340","Malignant","Macrophage","sctype"
"341","Stromal","Macrophage","sctype"
"342","Stromal","Stromal","sctype"
"343","Malignant","Malignant","sctype"
"344","Stromal","Stromal","sctype"
"345","Malignant","Malignant","sctype"
"346","T","Stromal","sctype"
"347","Myoepi","Stromal","sctype"
"348","Malignant","Malignant","sctype"
"349","Malignant","Malignant","sctype"
"350","Malignant","Malignant","sctype"
"351","Malignant","T","sctype"
"352","Malignant","Malignant","sctype"
"353","Malignant","Macrophage","sctype"
"354","Stromal","Stromal","sctype"
"355","Malignant","Malignant","sctype"
"356","Stromal","Macrophage","sctype"
"357","Malignant","Malignant","sctype"
"358","Malignant","Malignant","sctype"
"359","Stromal","Macrophage","sctype"
"360","Malignant","Malignant","sctype"
"361","T","T","sctype"
"362","Myoepi","Malignant","sctype"
"363","Malignant","Malignant","sctype"
"364","Malignant","Malignant","sctype"
"365","Macrophage","T","sctype"
"366","Malignant","Stromal","sctype"
"367","Malignant","Macrophage","sctype"
"368","Stromal","Malignant","sctype"
"369","Stromal","Macrophage","sctype"
"370","Plasma","Plasma","sctype"
"371","Macrophage","Stromal","sctype"
"372","Malignant","Macrophage","sctype"
"373","Malignant","Malignant","sctype"
"374","Malignant","Malignant","sctype"
"375","Malignant","Macrophage","sctype"
"376","Malignant","Malignant","sctype"
"377","Malignant","Malignant","sctype"
"378","Malignant","Macrophage","sctype"
"379","Stromal","Stromal","sctype"
"380","Malignant","Malignant","sctype"
"381","T","T","sctype"
"382","Malignant","Malignant","sctype"
"383","Malignant","Malignant","sctype"
"384","Malignant","Malignant","sctype"
"385","Macrophage","Malignant","sctype"
"386","Malignant","Malignant","sctype"
"387","Stromal","Malignant","sctype"
"388","Malignant","Myoepi","sctype"
"389","Malignant","Malignant","sctype"
"390","Malignant","Malignant","sctype"
"391","Malignant","Malignant","sctype"
"392","Malignant","Malignant","sctype"
"393","Malignant","Malignant","sctype"
"394","Malignant","Malignant","sctype"
"395","Malignant","Stromal","sctype"
"396","Malignant","Malignant","sctype"
"397","Malignant","Malignant","sctype"
"398","Malignant","Malignant","sctype"
"399","Malignant","Malignant","sctype"
"400","Malignant","Malignant","sctype"
"401","Malignant","Malignant","sctype"
"402","Malignant","Macrophage","sctype"
"403","Malignant","Malignant","sctype"
"404","Malignant","Malignant","sctype"
"405","Malignant","Macrophage","sctype"
"406","Macrophage","T","sctype"
"407","T","T","sctype"
"408","Malignant","Malignant","sctype"
"409","Malignant","Macrophage","sctype"
"410","Stromal","Stromal","sctype"
"411","Malignant","Myoepi","sctype"
"412","Macrophage","Macrophage","sctype"
"413","Malignant","Malignant","sctype"
"414","Malignant","Malignant","sctype"
"415","Malignant","Malignant","sctype"
"416","Malignant","Malignant","sctype"
"417","Malignant","Malignant","sctype"
"418","Malignant","Malignant","sctype"
"419","Malignant","Malignant","sctype"
"420","T","T","sctype"
"421","T","T","sctype"
"422","Malignant","Malignant","sctype"
"423","T","Stromal","sctype"
"424","T","T","sctype"
"425","Malignant","Macrophage","sctype"
"426","T","T","sctype"
"427","Stromal","T","sctype"
"428","T","T","sctype"
"429","T","T","sctype"
"430","T","T","sctype"
"431","B","T","sctype"
"432","Macrophage","Macrophage","sctype"
"433","Stromal","T","sctype"
"434","T","T","sctype"
"435","Malignant","Malignant","sctype"
"436","Macrophage","Macrophage","sctype"
"437","T","T","sctype"
"438","Stromal","Stromal","sctype"
"439","T","T","sctype"
"440","Malignant","Myoepi","sctype"
"441","Plasma","T","sctype"
"442","T","T","sctype"
"443","Malignant","Malignant","sctype"
"444","Malignant","Malignant","sctype"
"445","Malignant","Macrophage","sctype"
"446","Malignant","Stromal","sctype"
"447","Macrophage","Stromal","sctype"
"448","Macrophage","B","sctype"
"449","Malignant","Malignant","sctype"
"450","Stromal","Stromal","sctype"
"451","Malignant","Myoepi","sctype"
"452","Malignant","Malignant","sctype"
"453","Malignant","Malignant","sctype"
"454","Malignant","Malignant","sctype"
"455","T","T","sctype"
"456","Malignant","Malignant","sctype"
"457","Macrophage","Macrophage","sctype"
"458","Malignant","Macrophage","sctype"
"459","Malignant","Malignant","sctype"
"460","Malignant","Macrophage","sctype"
"461","Macrophage","Stromal","sctype"
"462","Malignant","Malignant","sctype"
"463","Malignant","Malignant","sctype"
"464","Malignant","Stromal","sctype"
"465","Malignant","Malignant","sctype"
"466","Malignant","Macrophage","sctype"
"467","Plasma","T","sctype"
"468","Malignant","Malignant","sctype"
"469","Malignant","Malignant","sctype"
"470","Malignant","Malignant","sctype"
"471","T","T","sctype"
"472","T","T","sctype"
"473","Malignant","Malignant","sctype"
"474","Macrophage","Plasma","sctype"
"475","Stromal","Stromal","sctype"
"476","Stromal","Malignant","sctype"
"477","Malignant","Malignant","sctype"
"478","Stromal","Stromal","sctype"
"479","Malignant","Malignant","sctype"
"480","Malignant","Malignant","sctype"
"481","B","T","sctype"
"482","Malignant","Malignant","sctype"
"483","Myoepi","Myoepi","sctype"
"484","Malignant","Malignant","sctype"
"485","Malignant","Macrophage","sctype"
"486","Stromal","Stromal","sctype"
"487","T","T","sctype"
"488","Stromal","Stromal","sctype"
"489","Stromal","Stromal","sctype"
"490","Plasma","Plasma","sctype"
"491","B","T","sctype"
"492","Malignant","Malignant","sctype"
"493","Macrophage","Stromal","sctype"
"494","Malignant","Malignant","sctype"
"495","T","T","sctype"
"496","Malignant","Macrophage","sctype"
"497","Malignant","Malignant","sctype"
"498","Malignant","Malignant","sctype"
"499","Malignant","Malignant","sctype"
"500","Malignant","Malignant","sctype"
"501","Stromal","Macrophage","sctype"
"502","Stromal","Malignant","sctype"
"503","Malignant","Malignant","sctype"
"504","Plasma","B","sctype"
"505","Myoepi","Stromal","sctype"
"506","Malignant","Malignant","sctype"
"507","Malignant","Malignant","sctype"
"508","Malignant","Malignant","sctype"
"509","T","Plasma","sctype"
"510","Malignant","Malignant","sctype"
"511","Malignant","Malignant","sctype"
"512","Malignant","Malignant","sctype"
"513","Stromal","Stromal","sctype"
"514","Stromal","Macrophage","sctype"
"515","Macrophage","Malignant","sctype"
"516","T","T","sctype"
"517","Malignant","Malignant","sctype"
"518","Malignant","Macrophage","sctype"
"519","Malignant","Malignant","sctype"
"520","Malignant","Malignant","sctype"
"521","Malignant","Malignant","sctype"
"522","Malignant","Malignant","sctype"
"523","Malignant","Malignant","sctype"
"524","Malignant","Malignant","sctype"
"525","Myoepi","Stromal","sctype"
"526","Stromal","Stromal","sctype"
"527","T","Plasma","sctype"
"528","Malignant","Malignant","sctype"
"529","Malignant","Malignant","sctype"
"530","T","Plasma","sctype"
"531","T","T","sctype"
"532","Malignant","Malignant","sctype"
"533","Malignant","Malignant","sctype"
"534","Malignant","Malignant","sctype"
"535","T","T","sctype"
"536","DC_Mast","T","sctype"
"537","Malignant","Malignant","sctype"
"538","T","Malignant","sctype"
"539","Malignant","Malignant","sctype"
"540","T","Macrophage","sctype"
"541","Malignant","Macrophage","sctype"
"542","Malignant","Malignant","sctype"
"543","T","T","sctype"
"544","Stromal","Stromal","sctype"
"545","Malignant","Malignant","sctype"
"546","T","T","sctype"
"547","Stromal","Stromal","sctype"
"548","Malignant","Malignant","sctype"
"549","Malignant","Malignant","sctype"
"550","Malignant","Malignant","sctype"
"551","Malignant","Macrophage","sctype"
"552","Malignant","Malignant","sctype"
"553","Malignant","Malignant","sctype"
"554","Stromal","Macrophage","sctype"
"555","Malignant","Malignant","sctype"
"556","Malignant","Malignant","sctype"
"557","Malignant","Macrophage","sctype"
"558","Malignant","Malignant","sctype"
"559","Malignant","Malignant","sctype"
"560","Malignant","Malignant","sctype"
"561","B","T","sctype"
"562","Stromal","Stromal","sctype"
"563","Malignant","Malignant","sctype"
"564","Malignant","Malignant","sctype"
"565","Stromal","T","sctype"
"566","Malignant","Malignant","sctype"
"567","Malignant","Malignant","sctype"
"568","Malignant","Myoepi","sctype"
"569","Malignant","Malignant","sctype"
"570","Stromal","Stromal","sctype"
"571","Malignant","Myoepi","sctype"
"572","Stromal","T","sctype"
"573","Malignant","Malignant","sctype"
"574","Myoepi","Macrophage","sctype"
"575","Malignant","Malignant","sctype"
"576","T","T","sctype"
"577","Malignant","Malignant","sctype"
"578","Malignant","Myoepi","sctype"
"579","Malignant","Malignant","sctype"
"580","T","T","sctype"
"581","T","T","sctype"
"582","Stromal","Malignant","sctype"
"583","Malignant","Malignant","sctype"
"584","Plasma","Plasma","sctype"
"585","Stromal","Stromal","sctype"
"586","Malignant","T","sctype"
"587","Macrophage","Malignant","sctype"
"588","Stromal","Stromal","sctype"
"589","Macrophage","Stromal","sctype"
"590","Malignant","Malignant","sctype"
"591","Myoepi","Malignant","sctype"
"592","Stromal","Stromal","sctype"
"593","T","T","sctype"
"594","Stromal","Stromal","sctype"
"595","Stromal","Malignant","sctype"
"596","T","T","sctype"
"597","Malignant","Malignant","sctype"
"598","Macrophage","Malignant","sctype"
"599","Macrophage","T","sctype"
"600","Stromal","Stromal","sctype"
"601","Stromal","Stromal","sctype"
"602","Malignant","Malignant","sctype"
"603","Malignant","Malignant","sctype"
"604","Malignant","Malignant","sctype"
"605","Stromal","T","sctype"
"606","Malignant","Malignant","sctype"
"607","Malignant","Malignant","sctype"
"608","Stromal","Stromal","sctype"
"609","Malignant","Macrophage","sctype"
"610","Malignant","Malignant","sctype"
"611","Malignant","T","sctype"
"612","Stromal","Stromal","sctype"
"613","Malignant","Stromal","sctype"
"614","Malignant","Malignant","sctype"
"615","Malignant","Malignant","sctype"
"616","Malignant","Malignant","sctype"
"617","Malignant","Malignant","sctype"
"618","T","T","sctype"
"619","Malignant","Malignant","sctype"
"620","T","T","sctype"
"621","Malignant","Malignant","sctype"
"622","Plasma","T","sctype"
"623","Stromal","Stromal","sctype"
"624","Stromal","Myoepi","sctype"
"625","Malignant","Myoepi","sctype"
"626","T","T","sctype"
"627","T","T","sctype"
"628","T","T","sctype"
"629","Malignant","Malignant","sctype"
"630","T","T","sctype"
"631","Malignant","Malignant","sctype"
"632","Stromal","Stromal","sctype"
"633","T","Stromal","sctype"
"634","T","T","sctype"
"635","T","T","sctype"
"636","B","T","sctype"
"637","Macrophage","B","sctype"
"638","T","T","sctype"
"639","Malignant","Malignant","sctype"
"640","Malignant","Myoepi","sctype"
"641","Stromal","T","sctype"
"642","Malignant","Malignant","sctype"
"643","Malignant","Malignant","sctype"
"644","Malignant","Malignant","sctype"
"645","Myoepi","Myoepi","sctype"
"646","Stromal","Stromal","sctype"
"647","Stromal","Stromal","sctype"
"648","Malignant","Malignant","sctype"
"649","Malignant","B","sctype"
"650","Malignant","Malignant","sctype"
"651","Malignant","Malignant","sctype"
"652","Malignant","Malignant","sctype"
"653","T","Malignant","sctype"
"654","Malignant","Malignant","sctype"
"655","Malignant","Macrophage","sctype"
"656","Stromal","Stromal","sctype"
"657","Malignant","Malignant","sctype"
"658","Myoepi","Myoepi","sctype"
"659","Malignant","Malignant","sctype"
"660","Malignant","Malignant","sctype"
"661","Malignant","Macrophage","sctype"
"662","T","T","sctype"
"663","T","Stromal","sctype"
"664","Malignant","T","sctype"
"665","Malignant","Malignant","sctype"
"666","Malignant","Malignant","sctype"
"667","Malignant","Macrophage","sctype"
"668","Myoepi","Myoepi","sctype"
"669","Malignant","Myoepi","sctype"
"670","Malignant","Malignant","sctype"
"671","Malignant","Malignant","sctype"
"672","Malignant","Malignant","sctype"
"673","Stromal","Plasma","sctype"
"674","Malignant","Malignant","sctype"
"675","Stromal","Stromal","sctype"
"676","Malignant","Malignant","sctype"
"677","Malignant","Malignant","sctype"
"678","Malignant","Malignant","sctype"
"679","Malignant","Malignant","sctype"
"680","Malignant","Malignant","sctype"
"681","Malignant","Malignant","sctype"
"682","Malignant","Malignant","sctype"
"683","Malignant","Malignant","sctype"
"684","Malignant","Malignant","sctype"
"685","Stromal","Stromal","sctype"
"686","Malignant","Malignant","sctype"
"687","Stromal","Stromal","sctype"
"688","Malignant","Malignant","sctype"
"689","Malignant","Macrophage","sctype"
"690","Malignant","Malignant","sctype"
"691","Malignant","Malignant","sctype"
"692","Malignant","Malignant","sctype"
"693","Malignant","Malignant","sctype"
"694","Malignant","Myoepi","sctype"
"695","Stromal","Malignant","sctype"
"696","Malignant","Malignant","sctype"
"697","Malignant","Malignant","sctype"
"698","Malignant","Malignant","sctype"
"699","Malignant","Malignant","sctype"
"700","Malignant","Malignant","sctype"
"701","Stromal","Stromal","sctype"
"702","T","T","sctype"
"703","Macrophage","Macrophage","sctype"
"704","Malignant","Myoepi","sctype"
"705","Stromal","Macrophage","sctype"
"706","Malignant","Malignant","sctype"
"707","Stromal","Macrophage","sctype"
"708","T","T","sctype"
"709","Malignant","Malignant","sctype"
"710","Malignant","Malignant","sctype"
"711","Malignant","Malignant","sctype"
"712","Stromal","Stromal","sctype"
"713","Malignant","Malignant","sctype"
"714","Malignant","Malignant","sctype"
"715","Malignant","Malignant","sctype"
"716","Stromal","Stromal","sctype"
"717","Plasma","Plasma","sctype"
"718","Malignant","Malignant","sctype"
"719","Malignant","Malignant","sctype"
"720","Macrophage","Macrophage","sctype"
"721","Malignant","Malignant","sctype"
"722","Malignant","Malignant","sctype"
"723","Malignant","Malignant","sctype"
"724","Malignant","Malignant","sctype"
"725","Malignant","Malignant","sctype"
"726","Macrophage","Macrophage","sctype"
"727","Stromal","T","sctype"
"728","Malignant","Malignant","sctype"
"729","Malignant","Macrophage","sctype"
"730","Malignant","Malignant","sctype"
"731","Malignant","Malignant","sctype"
"732","Macrophage","T","sctype"
"733","Malignant","Macrophage","sctype"
"734","Malignant","Macrophage","sctype"
"735","T","T","sctype"
"736","Stromal","B","sctype"
"737","Macrophage","Macrophage","sctype"
"738","Malignant","Malignant","sctype"
"739","Stromal","T","sctype"
"740","Myoepi","Myoepi","sctype"
"741","Malignant","Myoepi","sctype"
"742","Malignant","Macrophage","sctype"
"743","Malignant","Malignant","sctype"
"744","Malignant","Malignant","sctype"
"745","Macrophage","Macrophage","sctype"
"746","Malignant","T","sctype"
"747","Malignant","Malignant","sctype"
"748","Stromal","Stromal","sctype"
"749","Stromal","Stromal","sctype"
"750","Stromal","T","sctype"
"751","Malignant","Malignant","sctype"
"752","Malignant","Malignant","sctype"
"753","Stromal","Stromal","sctype"
"754","Stromal","Stromal","sctype"
"755","Malignant","Malignant","sctype"
"756","Macrophage","Stromal","sctype"
"757","Malignant","Malignant","sctype"
"758","Malignant","Malignant","sctype"
"759","Malignant","Malignant","sctype"
"760","Malignant","Malignant","sctype"
"761","Stromal","Malignant","sctype"
"762","Myoepi","Malignant","sctype"
"763","Malignant","Macrophage","sctype"
"764","Malignant","Malignant","sctype"
"765","T","Macrophage","sctype"
"766","Malignant","Malignant","sctype"
"767","Malignant","Malignant","sctype"
"768","Malignant","Malignant","sctype"
"769","Macrophage","Macrophage","sctype"
"770","Malignant","Malignant","sctype"
"771","Malignant","T","sctype"
"772","Malignant","Malignant","sctype"
"773","T","T","sctype"
"774","Stromal","Stromal","sctype"
"775","T","T","sctype"
"776","Malignant","Malignant","sctype"
"777","Malignant","Malignant","sctype"
"778","B","T","sctype"
"779","Malignant","Malignant","sctype"
"780","Stromal","Stromal","sctype"
"781","Stromal","Stromal","sctype"
"782","B","Stromal","sctype"
"783","Malignant","Malignant","sctype"
"784","Malignant","Malignant","sctype"
"785","T","T","sctype"
"786","Stromal","Stromal","sctype"
"787","Macrophage","Stromal","sctype"
"788","Malignant","Malignant","sctype"
"789","Plasma","Plasma","sctype"
"790","Malignant","Malignant","sctype"
"791","T","Macrophage","sctype"
"792","Malignant","Malignant","sctype"
"793","Malignant","Malignant","sctype"
"794","Malignant","Malignant","sctype"
"795","Stromal","Macrophage","sctype"
"796","T","Plasma","sctype"
"797","Plasma","Plasma","sctype"
"798","Malignant","Malignant","sctype"
"799","Malignant","Malignant","sctype"
"800","Stromal","T","sctype"
"801","Malignant","T","sctype"
"802","B","T","sctype"
"803","T","T","sctype"
"804","T","T","sctype"
"805","T","T","sctype"
"806","T","T","sctype"
"807","Stromal","Stromal","sctype"
"808","Malignant","Malignant","sctype"
"809","Malignant","Malignant","sctype"
"810","Stromal","T","sctype"
"811","T","T","sctype"
"812","Malignant","Malignant","sctype"
"813","Malignant","Myoepi","sctype"
"814","Malignant","Malignant","sctype"
