"","celltype_gt","celltype","model"
"176","Plasma","Stromal","clustifyr"
"177","Malignant","Malignant","clustifyr"
"178","Malignant","Malignant","clustifyr"
"179","T","T","clustifyr"
"180","Macrophage","Stromal","clustifyr"
"181","Malignant","Malignant","clustifyr"
"182","Myoepi","Malignant","clustifyr"
"183","Plasma","Stromal","clustifyr"
"184","Stromal","Stromal","clustifyr"
"185","Malignant","Malignant","clustifyr"
"186","B","T","clustifyr"
"187","Plasma","Stromal","clustifyr"
"188","Malignant","Malignant","clustifyr"
"189","Malignant","Malignant","clustifyr"
"190","Malignant","Stromal","clustifyr"
"191","T","T","clustifyr"
"192","Malignant","Malignant","clustifyr"
"193","Malignant","Malignant","clustifyr"
"194","Malignant","Malignant","clustifyr"
"195","Malignant","Malignant","clustifyr"
"196","B","T","clustifyr"
"197","Macrophage","Stromal","clustifyr"
"198","Malignant","Malignant","clustifyr"
"199","Malignant","Malignant","clustifyr"
"200","Myoepi","Malignant","clustifyr"
"201","Malignant","Malignant","clustifyr"
"202","Malignant","Malignant","clustifyr"
"203","T","Malignant","clustifyr"
"204","Stromal","Macrophage","clustifyr"
"205","Macrophage","B","clustifyr"
"206","Malignant","Malignant","clustifyr"
"207","Stromal","Stromal","clustifyr"
"208","Malignant","Stromal","clustifyr"
"209","Malignant","Malignant","clustifyr"
"210","Malignant","Malignant","clustifyr"
"211","Stromal","Stromal","clustifyr"
"212","Macrophage","T","clustifyr"
"213","Plasma","Macrophage","clustifyr"
"214","T","T","clustifyr"
"215","Myoepi","Malignant","clustifyr"
"216","Malignant","Malignant","clustifyr"
"217","Malignant","Malignant","clustifyr"
"218","Malignant","Malignant","clustifyr"
"219","Malignant","Malignant","clustifyr"
"220","Malignant","Malignant","clustifyr"
"221","B","B","clustifyr"
"222","Myoepi","Malignant","clustifyr"
"223","T","T","clustifyr"
"224","T","T","clustifyr"
"225","B","T","clustifyr"
"226","T","T","clustifyr"
"227","Stromal","Stromal","clustifyr"
"228","Macrophage","Stromal","clustifyr"
"229","T","Macrophage","clustifyr"
"230","Malignant","Malignant","clustifyr"
"231","Malignant","Malignant","clustifyr"
"232","B","T","clustifyr"
"233","Stromal","Malignant","clustifyr"
"234","Macrophage","Stromal","clustifyr"
"235","Macrophage","Macrophage","clustifyr"
"236","Malignant","Malignant","clustifyr"
"237","Malignant","Malignant","clustifyr"
"238","Macrophage","Macrophage","clustifyr"
"239","T","B","clustifyr"
"240","Malignant","Malignant","clustifyr"
"241","Malignant","Malignant","clustifyr"
"242","Plasma","Plasma","clustifyr"
"243","Malignant","Stromal","clustifyr"
"244","Malignant","Malignant","clustifyr"
"245","Myoepi","Malignant","clustifyr"
"246","T","Malignant","clustifyr"
"247","Malignant","Malignant","clustifyr"
"248","Malignant","Malignant","clustifyr"
"249","T","Stromal","clustifyr"
"250","Stromal","Stromal","clustifyr"
"251","Malignant","Stromal","clustifyr"
"252","Macrophage","Macrophage","clustifyr"
"253","Stromal","Malignant","clustifyr"
"254","Stromal","Stromal","clustifyr"
"255","Malignant","Malignant","clustifyr"
"256","Macrophage","Macrophage","clustifyr"
"257","Malignant","Malignant","clustifyr"
"258","Malignant","Stromal","clustifyr"
"259","Malignant","Stromal","clustifyr"
"260","Malignant","Malignant","clustifyr"
"261","Malignant","Malignant","clustifyr"
"262","Malignant","Malignant","clustifyr"
"263","Malignant","Malignant","clustifyr"
"264","Malignant","Stromal","clustifyr"
"265","Malignant","Malignant","clustifyr"
"266","Malignant","Malignant","clustifyr"
"267","Malignant","Malignant","clustifyr"
"268","Stromal","Stromal","clustifyr"
"269","T","Malignant","clustifyr"
"270","Malignant","Stromal","clustifyr"
"271","Malignant","Malignant","clustifyr"
"272","Malignant","Malignant","clustifyr"
"273","Malignant","Malignant","clustifyr"
"274","Malignant","Malignant","clustifyr"
"275","Malignant","Malignant","clustifyr"
"276","T","T","clustifyr"
"277","Malignant","Malignant","clustifyr"
"278","Stromal","Macrophage","clustifyr"
"279","Malignant","Malignant","clustifyr"
"280","Stromal","Stromal","clustifyr"
"281","B","T","clustifyr"
"282","Malignant","Malignant","clustifyr"
"283","B","T","clustifyr"
"284","Malignant","Malignant","clustifyr"
"285","Malignant","Malignant","clustifyr"
"286","Malignant","Malignant","clustifyr"
"287","Malignant","Malignant","clustifyr"
"288","Malignant","Stromal","clustifyr"
"289","Malignant","Malignant","clustifyr"
"290","Malignant","Malignant","clustifyr"
"291","Malignant","Malignant","clustifyr"
"292","Malignant","Malignant","clustifyr"
"293","B","B","clustifyr"
"294","Stromal","Stromal","clustifyr"
"295","Stromal","Stromal","clustifyr"
"296","Malignant","Stromal","clustifyr"
"297","Malignant","Malignant","clustifyr"
"298","Malignant","Malignant","clustifyr"
"299","Malignant","Malignant","clustifyr"
"300","Stromal","Stromal","clustifyr"
"301","Malignant","Malignant","clustifyr"
"302","T","Stromal","clustifyr"
"303","Malignant","Malignant","clustifyr"
"304","Stromal","Stromal","clustifyr"
"305","Malignant","Malignant","clustifyr"
"306","Malignant","Malignant","clustifyr"
"307","T","T","clustifyr"
"308","Macrophage","T","clustifyr"
"309","Malignant","Malignant","clustifyr"
"310","Malignant","Malignant","clustifyr"
"311","Malignant","Malignant","clustifyr"
"312","Malignant","Malignant","clustifyr"
"313","Malignant","Malignant","clustifyr"
"314","Malignant","Malignant","clustifyr"
"315","Malignant","Malignant","clustifyr"
"316","Malignant","Malignant","clustifyr"
"317","Malignant","Malignant","clustifyr"
"318","B","T","clustifyr"
"319","T","T","clustifyr"
"320","T","Malignant","clustifyr"
"321","Malignant","Malignant","clustifyr"
"322","Stromal","Stromal","clustifyr"
"323","Stromal","T","clustifyr"
"324","Malignant","Malignant","clustifyr"
"325","Malignant","Malignant","clustifyr"
"326","Malignant","Malignant","clustifyr"
"327","Malignant","Malignant","clustifyr"
"328","Stromal","Stromal","clustifyr"
"329","Malignant","Malignant","clustifyr"
"330","Malignant","Malignant","clustifyr"
"331","Malignant","Malignant","clustifyr"
"332","Malignant","Malignant","clustifyr"
"333","Malignant","Malignant","clustifyr"
"334","Malignant","Stromal","clustifyr"
"335","Malignant","Stromal","clustifyr"
"336","Stromal","Malignant","clustifyr"
"337","Stromal","Stromal","clustifyr"
"338","Malignant","Malignant","clustifyr"
"339","Stromal","Stromal","clustifyr"
"340","Malignant","Malignant","clustifyr"
"341","Malignant","Stromal","clustifyr"
"342","Myoepi","Malignant","clustifyr"
"343","Malignant","Malignant","clustifyr"
"344","Malignant","Malignant","clustifyr"
"345","Malignant","Malignant","clustifyr"
"346","Malignant","Malignant","clustifyr"
"347","Malignant","Malignant","clustifyr"
"348","Malignant","Stromal","clustifyr"
"349","Stromal","Stromal","clustifyr"
"350","Malignant","Malignant","clustifyr"
"351","Stromal","Stromal","clustifyr"
"352","Malignant","Malignant","clustifyr"
"353","Malignant","Malignant","clustifyr"
"354","Stromal","Stromal","clustifyr"
"355","Malignant","Malignant","clustifyr"
"356","T","Macrophage","clustifyr"
"357","Myoepi","Malignant","clustifyr"
"358","Malignant","Malignant","clustifyr"
"359","Malignant","Malignant","clustifyr"
"360","Macrophage","Malignant","clustifyr"
"361","Malignant","Stromal","clustifyr"
"362","Malignant","Malignant","clustifyr"
"363","Stromal","Stromal","clustifyr"
"364","Stromal","Stromal","clustifyr"
"365","Plasma","Stromal","clustifyr"
"366","Macrophage","Macrophage","clustifyr"
"367","Malignant","Stromal","clustifyr"
"368","Malignant","Malignant","clustifyr"
"369","Malignant","Malignant","clustifyr"
"370","Malignant","Malignant","clustifyr"
"371","Malignant","Malignant","clustifyr"
"372","Malignant","Malignant","clustifyr"
"373","Malignant","Stromal","clustifyr"
"374","Stromal","Stromal","clustifyr"
"375","Malignant","Malignant","clustifyr"
"376","T","T","clustifyr"
"377","Malignant","Malignant","clustifyr"
"378","Malignant","Malignant","clustifyr"
"379","Malignant","Malignant","clustifyr"
"380","Macrophage","Malignant","clustifyr"
"381","Malignant","Malignant","clustifyr"
"382","Stromal","Stromal","clustifyr"
"383","Malignant","Malignant","clustifyr"
"384","Malignant","Malignant","clustifyr"
"385","Malignant","Malignant","clustifyr"
"386","Malignant","Malignant","clustifyr"
"387","Malignant","Malignant","clustifyr"
"388","Malignant","Malignant","clustifyr"
"389","Malignant","Malignant","clustifyr"
"390","Malignant","Macrophage","clustifyr"
"391","Malignant","Malignant","clustifyr"
"392","Malignant","Malignant","clustifyr"
"393","Malignant","Malignant","clustifyr"
"394","Malignant","Malignant","clustifyr"
"395","Malignant","Malignant","clustifyr"
"396","Malignant","Malignant","clustifyr"
"397","Malignant","Malignant","clustifyr"
"398","Malignant","Malignant","clustifyr"
"399","Malignant","Malignant","clustifyr"
"400","Malignant","Stromal","clustifyr"
"401","Macrophage","T","clustifyr"
"402","T","Malignant","clustifyr"
"403","Malignant","Malignant","clustifyr"
"404","Malignant","Stromal","clustifyr"
"405","Stromal","Stromal","clustifyr"
"406","Malignant","Malignant","clustifyr"
"407","Macrophage","Macrophage","clustifyr"
"408","Malignant","Malignant","clustifyr"
"409","Malignant","Malignant","clustifyr"
"410","Malignant","Malignant","clustifyr"
"411","Malignant","Malignant","clustifyr"
"412","Malignant","Malignant","clustifyr"
"413","Malignant","Malignant","clustifyr"
"414","Malignant","Malignant","clustifyr"
"415","T","T","clustifyr"
"416","T","T","clustifyr"
"417","Malignant","Malignant","clustifyr"
"418","T","Stromal","clustifyr"
"419","T","T","clustifyr"
"420","Malignant","Stromal","clustifyr"
"421","T","T","clustifyr"
"422","Stromal","Malignant","clustifyr"
"423","T","T","clustifyr"
"424","T","T","clustifyr"
"425","T","T","clustifyr"
"426","B","T","clustifyr"
"427","Macrophage","Macrophage","clustifyr"
"428","Malignant","Malignant","clustifyr"
"429","Malignant","Malignant","clustifyr"
"430","Macrophage","Macrophage","clustifyr"
"431","T","T","clustifyr"
"432","Stromal","Stromal","clustifyr"
"433","T","T","clustifyr"
"434","Malignant","Malignant","clustifyr"
"435","Plasma","T","clustifyr"
"436","T","T","clustifyr"
"437","Malignant","Malignant","clustifyr"
"438","Malignant","Malignant","clustifyr"
"439","Malignant","Stromal","clustifyr"
"440","Malignant","Macrophage","clustifyr"
"441","Macrophage","Macrophage","clustifyr"
"442","Macrophage","Malignant","clustifyr"
"443","Malignant","Malignant","clustifyr"
"444","Stromal","Macrophage","clustifyr"
"445","Malignant","Malignant","clustifyr"
"446","Malignant","Malignant","clustifyr"
"447","Malignant","Malignant","clustifyr"
"448","Malignant","Malignant","clustifyr"
"449","T","T","clustifyr"
"450","Malignant","Malignant","clustifyr"
"451","Macrophage","Macrophage","clustifyr"
"452","Malignant","Malignant","clustifyr"
"453","Malignant","Malignant","clustifyr"
"454","Malignant","Stromal","clustifyr"
"455","Macrophage","Macrophage","clustifyr"
"456","Malignant","Malignant","clustifyr"
"457","Malignant","Malignant","clustifyr"
"458","Malignant","Stromal","clustifyr"
"459","Malignant","Malignant","clustifyr"
"460","Malignant","Malignant","clustifyr"
"461","Plasma","Stromal","clustifyr"
"462","Malignant","Malignant","clustifyr"
"463","Malignant","Malignant","clustifyr"
"464","Malignant","Malignant","clustifyr"
"465","T","Malignant","clustifyr"
"466","T","T","clustifyr"
"467","Malignant","Malignant","clustifyr"
"468","Macrophage","Stromal","clustifyr"
"469","Stromal","Macrophage","clustifyr"
"470","Stromal","Malignant","clustifyr"
"471","Malignant","Malignant","clustifyr"
"472","Stromal","Stromal","clustifyr"
"473","Malignant","Malignant","clustifyr"
"474","Malignant","Malignant","clustifyr"
"475","B","T","clustifyr"
"476","Malignant","Stromal","clustifyr"
"477","Myoepi","Malignant","clustifyr"
"478","Malignant","Malignant","clustifyr"
"479","Malignant","Stromal","clustifyr"
"480","Stromal","Macrophage","clustifyr"
"481","T","Macrophage","clustifyr"
"482","Stromal","Stromal","clustifyr"
"483","Stromal","Stromal","clustifyr"
"484","Plasma","Plasma","clustifyr"
"485","B","T","clustifyr"
"486","Malignant","Malignant","clustifyr"
"487","Macrophage","Macrophage","clustifyr"
"488","Malignant","Malignant","clustifyr"
"489","T","T","clustifyr"
"490","Malignant","Malignant","clustifyr"
"491","Malignant","Malignant","clustifyr"
"492","Malignant","Malignant","clustifyr"
"493","Malignant","Malignant","clustifyr"
"494","Malignant","Malignant","clustifyr"
"495","Stromal","Stromal","clustifyr"
"496","Stromal","Stromal","clustifyr"
"497","Malignant","Malignant","clustifyr"
"498","Plasma","Macrophage","clustifyr"
"499","Myoepi","Stromal","clustifyr"
"500","Malignant","Malignant","clustifyr"
"501","Malignant","Malignant","clustifyr"
"502","Malignant","Malignant","clustifyr"
"503","T","Plasma","clustifyr"
"504","Malignant","Malignant","clustifyr"
"505","Malignant","Malignant","clustifyr"
"506","Malignant","Malignant","clustifyr"
"507","Stromal","Stromal","clustifyr"
"508","Stromal","Stromal","clustifyr"
"509","Macrophage","Stromal","clustifyr"
"510","T","T","clustifyr"
"511","Malignant","Malignant","clustifyr"
"512","Malignant","Stromal","clustifyr"
"513","Malignant","Malignant","clustifyr"
"514","Malignant","Malignant","clustifyr"
"515","Malignant","Malignant","clustifyr"
"516","Malignant","Malignant","clustifyr"
"517","Malignant","Malignant","clustifyr"
"518","Malignant","Malignant","clustifyr"
"519","Myoepi","Stromal","clustifyr"
"520","Stromal","Stromal","clustifyr"
"521","T","T","clustifyr"
"522","Malignant","Malignant","clustifyr"
"523","Malignant","Malignant","clustifyr"
"524","T","T","clustifyr"
"525","T","Malignant","clustifyr"
"526","Malignant","Malignant","clustifyr"
"527","Malignant","Malignant","clustifyr"
"528","Malignant","Malignant","clustifyr"
"529","T","T","clustifyr"
"530","DC_Mast","Malignant","clustifyr"
"531","Malignant","Malignant","clustifyr"
"532","T","Stromal","clustifyr"
"533","Malignant","Malignant","clustifyr"
"534","Malignant","Stromal","clustifyr"
"535","Malignant","Stromal","clustifyr"
"536","Malignant","Malignant","clustifyr"
"537","T","Macrophage","clustifyr"
"538","Stromal","Stromal","clustifyr"
"539","Malignant","Malignant","clustifyr"
"540","T","Malignant","clustifyr"
"541","Stromal","Stromal","clustifyr"
"542","Malignant","Malignant","clustifyr"
"543","Malignant","Stromal","clustifyr"
"544","Malignant","Malignant","clustifyr"
"545","Malignant","Malignant","clustifyr"
"546","Malignant","Malignant","clustifyr"
"547","Malignant","Malignant","clustifyr"
"548","Stromal","Stromal","clustifyr"
"549","Malignant","Malignant","clustifyr"
"550","Malignant","Malignant","clustifyr"
"551","Malignant","Malignant","clustifyr"
"552","Malignant","Malignant","clustifyr"
"553","Malignant","Malignant","clustifyr"
"554","Malignant","Malignant","clustifyr"
"555","B","T","clustifyr"
"556","Stromal","Stromal","clustifyr"
"557","Malignant","Malignant","clustifyr"
"558","Malignant","Malignant","clustifyr"
"559","Malignant","Malignant","clustifyr"
"560","Malignant","Malignant","clustifyr"
"561","Malignant","Malignant","clustifyr"
"562","Malignant","Malignant","clustifyr"
"563","Stromal","Stromal","clustifyr"
"564","Malignant","Malignant","clustifyr"
"565","Malignant","Malignant","clustifyr"
"566","Myoepi","Stromal","clustifyr"
"567","Malignant","Malignant","clustifyr"
"568","T","Malignant","clustifyr"
"569","Malignant","Malignant","clustifyr"
"570","Malignant","Malignant","clustifyr"
"571","Malignant","Malignant","clustifyr"
"572","T","T","clustifyr"
"573","T","Malignant","clustifyr"
"574","Stromal","Malignant","clustifyr"
"575","Malignant","Malignant","clustifyr"
"576","Plasma","Stromal","clustifyr"
"577","Stromal","Stromal","clustifyr"
"578","Malignant","Malignant","clustifyr"
"579","Macrophage","Macrophage","clustifyr"
"580","Stromal","Stromal","clustifyr"
"581","Macrophage","Stromal","clustifyr"
"582","Malignant","Malignant","clustifyr"
"583","Myoepi","Malignant","clustifyr"
"584","Stromal","Stromal","clustifyr"
"585","T","Malignant","clustifyr"
"586","Stromal","Stromal","clustifyr"
"587","Stromal","Malignant","clustifyr"
"588","T","T","clustifyr"
"589","Malignant","Malignant","clustifyr"
"590","Macrophage","Malignant","clustifyr"
"591","Macrophage","Stromal","clustifyr"
"592","Stromal","Stromal","clustifyr"
"593","Stromal","Stromal","clustifyr"
"594","Malignant","Malignant","clustifyr"
"595","Malignant","Malignant","clustifyr"
"596","Malignant","Malignant","clustifyr"
"597","Malignant","Malignant","clustifyr"
"598","Malignant","Malignant","clustifyr"
"599","Stromal","Stromal","clustifyr"
"600","Malignant","Malignant","clustifyr"
"601","Malignant","Malignant","clustifyr"
"602","Malignant","Malignant","clustifyr"
"603","Stromal","Macrophage","clustifyr"
"604","Malignant","Stromal","clustifyr"
"605","Malignant","Malignant","clustifyr"
"606","Malignant","Malignant","clustifyr"
"607","Malignant","Malignant","clustifyr"
"608","Malignant","Malignant","clustifyr"
"609","T","T","clustifyr"
"610","Malignant","Malignant","clustifyr"
"611","T","T","clustifyr"
"612","Malignant","Stromal","clustifyr"
"613","Plasma","T","clustifyr"
"614","Stromal","Stromal","clustifyr"
"615","Stromal","Malignant","clustifyr"
"616","Malignant","Malignant","clustifyr"
"617","T","T","clustifyr"
"618","T","T","clustifyr"
"619","T","T","clustifyr"
"620","Malignant","Malignant","clustifyr"
"621","T","B","clustifyr"
"622","Malignant","Malignant","clustifyr"
"623","Stromal","Stromal","clustifyr"
"624","Malignant","Stromal","clustifyr"
"625","T","T","clustifyr"
"626","T","T","clustifyr"
"627","B","T","clustifyr"
"628","Macrophage","Macrophage","clustifyr"
"629","T","T","clustifyr"
"630","Malignant","Malignant","clustifyr"
"631","Malignant","Stromal","clustifyr"
"632","Malignant","Malignant","clustifyr"
"633","Malignant","Malignant","clustifyr"
"634","Malignant","Malignant","clustifyr"
"635","Myoepi","Stromal","clustifyr"
"636","Stromal","Stromal","clustifyr"
"637","Stromal","Stromal","clustifyr"
"638","Malignant","Malignant","clustifyr"
"639","Malignant","Malignant","clustifyr"
"640","Malignant","Malignant","clustifyr"
"641","Malignant","Malignant","clustifyr"
"642","Malignant","Malignant","clustifyr"
"643","Malignant","Malignant","clustifyr"
"644","Malignant","Malignant","clustifyr"
"645","Malignant","Malignant","clustifyr"
"646","Stromal","Stromal","clustifyr"
"647","Malignant","Malignant","clustifyr"
"648","Myoepi","Malignant","clustifyr"
"649","Malignant","Malignant","clustifyr"
"650","Malignant","Malignant","clustifyr"
"651","Malignant","Malignant","clustifyr"
"652","Malignant","Stromal","clustifyr"
"653","T","Stromal","clustifyr"
"654","Malignant","Stromal","clustifyr"
"655","Malignant","Malignant","clustifyr"
"656","Malignant","Malignant","clustifyr"
"657","Malignant","Stromal","clustifyr"
"658","Myoepi","Malignant","clustifyr"
"659","Malignant","Malignant","clustifyr"
"660","Malignant","Malignant","clustifyr"
"661","Malignant","Malignant","clustifyr"
"662","Malignant","Malignant","clustifyr"
"663","Stromal","Stromal","clustifyr"
"664","Malignant","Malignant","clustifyr"
"665","Stromal","Stromal","clustifyr"
"666","Malignant","Malignant","clustifyr"
"667","Malignant","Stromal","clustifyr"
"668","Malignant","Malignant","clustifyr"
"669","Malignant","Malignant","clustifyr"
"670","Malignant","Malignant","clustifyr"
"671","Malignant","Malignant","clustifyr"
"672","Malignant","Malignant","clustifyr"
"673","Malignant","Malignant","clustifyr"
"674","Malignant","Malignant","clustifyr"
"675","Stromal","Stromal","clustifyr"
"676","Malignant","Malignant","clustifyr"
"677","Stromal","Stromal","clustifyr"
"678","Malignant","Malignant","clustifyr"
"679","Malignant","Stromal","clustifyr"
"680","Malignant","Malignant","clustifyr"
"681","Malignant","Malignant","clustifyr"
"682","Malignant","Malignant","clustifyr"
"683","Malignant","Malignant","clustifyr"
"684","Malignant","Malignant","clustifyr"
"685","Stromal","Malignant","clustifyr"
"686","Malignant","Malignant","clustifyr"
"687","Malignant","Malignant","clustifyr"
"688","Malignant","Malignant","clustifyr"
"689","Malignant","Malignant","clustifyr"
"690","Malignant","Malignant","clustifyr"
"691","Stromal","Stromal","clustifyr"
"692","Malignant","Malignant","clustifyr"
"693","Macrophage","Malignant","clustifyr"
"694","Malignant","Malignant","clustifyr"
"695","Stromal","Stromal","clustifyr"
"696","Malignant","Malignant","clustifyr"
"697","Stromal","Stromal","clustifyr"
"698","T","T","clustifyr"
"699","Malignant","Malignant","clustifyr"
"700","Malignant","Malignant","clustifyr"
"701","Malignant","Malignant","clustifyr"
"702","Stromal","Stromal","clustifyr"
"703","Malignant","Malignant","clustifyr"
"704","Malignant","Malignant","clustifyr"
"705","Malignant","Malignant","clustifyr"
"706","Stromal","Stromal","clustifyr"
"707","Plasma","Stromal","clustifyr"
"708","Malignant","Malignant","clustifyr"
"709","Malignant","Malignant","clustifyr"
"710","Macrophage","Stromal","clustifyr"
"711","Malignant","Malignant","clustifyr"
"712","Malignant","Malignant","clustifyr"
"713","Malignant","Malignant","clustifyr"
"714","Malignant","Malignant","clustifyr"
"715","Malignant","Malignant","clustifyr"
"716","Macrophage","Macrophage","clustifyr"
"717","Stromal","Macrophage","clustifyr"
"718","Malignant","Malignant","clustifyr"
"719","Malignant","Stromal","clustifyr"
"720","Malignant","Malignant","clustifyr"
"721","Malignant","Malignant","clustifyr"
"722","Macrophage","Malignant","clustifyr"
