"","gt","pred","this_gene"
"cell488",0,0.122153714,"SERPINA3"
"cell489",0,0.560081,"SERPINA3"
"cell490",0,0.30383238,"SERPINA3"
"cell491",0,0.106697954,"SERPINA3"
"cell492",0,0.47614452,"SERPINA3"
"cell493",0,0.03754256,"SERPINA3"
"cell494",2.67212508967549,0.18886428,"SERPINA3"
"cell496",0,0.25776014,"SERPINA3"
"cell502",0,0.04309958,"SERPINA3"
"cell503",0,0.018395284,"SERPINA3"
"cell504",0,0.33675075,"SERPINA3"
"cell505",0,0.19012012,"SERPINA3"
"cell506",0,0.025455458,"SERPINA3"
"cell508",0,0.1862605,"SERPINA3"
"cell509",0,0,"SERPINA3"
"cell512",0,0.049627557,"SERPINA3"
"cell513",0,0.15186201,"SERPINA3"
"cell515",0,0,"SERPINA3"
"cell516",0,0.15913375,"SERPINA3"
"cell518",0,0.07182344,"SERPINA3"
"cell519",0,0.14493643,"SERPINA3"
"cell520",0,0.52257293,"SERPINA3"
"cell523",0,0,"SERPINA3"
"cell527",0,0.016233308,"SERPINA3"
"cell529",0,0.05481828,"SERPINA3"
"cell535",0,0.13464531,"SERPINA3"
"cell537",0,0.03748286,"SERPINA3"
"cell539",0,0.2368521,"SERPINA3"
"cell540",0,0.07668129,"SERPINA3"
"cell548",0,0.28565693,"SERPINA3"
"cell550",0,0.30266657,"SERPINA3"
"cell552",0,0.14363246,"SERPINA3"
"cell555",0,0.043255657,"SERPINA3"
"cell556",0,0.3362813,"SERPINA3"
"cell559",0,0,"SERPINA3"
"cell560",0,0,"SERPINA3"
"cell561",0,3.4588575e-05,"SERPINA3"
"cell563",0,0,"SERPINA3"
"cell564",0,0,"SERPINA3"
"cell565",0,0,"SERPINA3"
"cell566",0,0,"SERPINA3"
"cell570",0,0.0059006126,"SERPINA3"
"cell571",0,0,"SERPINA3"
"cell572",0,0.04697747,"SERPINA3"
"cell573",0,0.012010348,"SERPINA3"
"cell574",0,0.025943441,"SERPINA3"
"cell575",0,0.6553092,"SERPINA3"
"cell576",0,0.32680592,"SERPINA3"
"cell577",0,0.0842578,"SERPINA3"
"cell578",0,0,"SERPINA3"
"cell579",0,0.019228924,"SERPINA3"
"cell580",0,0.038264092,"SERPINA3"
"cell582",0,0.021966487,"SERPINA3"
"cell583",0,0,"SERPINA3"
"cell584",0,0,"SERPINA3"
"cell587",0,0,"SERPINA3"
"cell588",0,0.04163119,"SERPINA3"
"cell589",0,0.114842966,"SERPINA3"
"cell592",0,0,"SERPINA3"
"cell593",0,0,"SERPINA3"
"cell594",0,0,"SERPINA3"
"cell595",0,0,"SERPINA3"
"cell598",0,0,"SERPINA3"
"cell600",0,0,"SERPINA3"
"cell601",0,0.33802482,"SERPINA3"
"cell602",0,0.3563891,"SERPINA3"
"cell606",0,0.009923631,"SERPINA3"
"cell609",0,0,"SERPINA3"
"cell611",0,0.28958502,"SERPINA3"
"cell612",0,0.22193328,"SERPINA3"
"cell614",0,0.05227157,"SERPINA3"
"cell617",0,0.0004956901,"SERPINA3"
"cell618",0,0.3125144,"SERPINA3"
"cell619",0,0.09586724,"SERPINA3"
"cell620",0,0.05383551,"SERPINA3"
"cell621",0,0,"SERPINA3"
"cell623",0,0.06817735,"SERPINA3"
"cell626",0,0,"SERPINA3"
"cell627",0,0,"SERPINA3"
"cell629",0,0.38934627,"SERPINA3"
"cell631",0,0.11628175,"SERPINA3"
"cell633",0,0,"SERPINA3"
"cell634",0,0.13751875,"SERPINA3"
"cell635",0,0.004824662,"SERPINA3"
"cell638",0,0.027334837,"SERPINA3"
"cell639",0,0,"SERPINA3"
"cell640",0,0.5168315,"SERPINA3"
"cell641",0,0.3719173,"SERPINA3"
"cell643",0,0,"SERPINA3"
"cell644",0.763734208835318,0.4332358,"SERPINA3"
"cell645",0,0,"SERPINA3"
"cell647",0,0,"SERPINA3"
"cell650",0,0.01791427,"SERPINA3"
"cell652",0,0,"SERPINA3"
"cell653",1.03819836805962,0.19888423,"SERPINA3"
"cell655",0,0.18590307,"SERPINA3"
"cell657",0,0.031125968,"SERPINA3"
"cell658",0,0.13158143,"SERPINA3"
"cell659",0,0,"SERPINA3"
"cell663",0,0.13693807,"SERPINA3"
"cell664",0,0,"SERPINA3"
"cell665",0,0,"SERPINA3"
"cell666",0,0,"SERPINA3"
"cell668",0,0,"SERPINA3"
"cell669",0,0,"SERPINA3"
"cell670",0,0.015779179,"SERPINA3"
"cell674",0,0,"SERPINA3"
"cell675",0,0.00023726225,"SERPINA3"
"cell676",0,0.07522883,"SERPINA3"
"cell677",0,0.36469543,"SERPINA3"
"cell678",0,0.2804701,"SERPINA3"
"cell679",1.26048298061213,0.13981056,"SERPINA3"
"cell680",0,0.33681628,"SERPINA3"
"cell682",1.29416145786268,0.10646286,"SERPINA3"
"cell683",1.04062320150809,0.64219207,"SERPINA3"
"cell685",0,0.032494746,"SERPINA3"
"cell686",0,0.4601616,"SERPINA3"
"cell687",1.06809845900354,0.12070781,"SERPINA3"
"cell689",0,0.036203984,"SERPINA3"
"cell690",0,0,"SERPINA3"
"cell691",0,0.19686046,"SERPINA3"
"cell692",0,0,"SERPINA3"
"cell693",0,0.13548903,"SERPINA3"
"cell696",0,0.014327127,"SERPINA3"
"cell697",0,0.32603708,"SERPINA3"
"cell698",0,0.004831663,"SERPINA3"
"cell699",0,0.10524368,"SERPINA3"
"cell702",0,0.15027674,"SERPINA3"
"cell704",0,0.67946285,"SERPINA3"
"cell705",0,0.24800697,"SERPINA3"
"cell707",0,0.13253078,"SERPINA3"
"cell708",0,0.41546082,"SERPINA3"
"cell710",0,0.04358002,"SERPINA3"
"cell711",0,0.5536047,"SERPINA3"
"cell713",0,0.509016,"SERPINA3"
"cell714",0,0.22078197,"SERPINA3"
"cell718",0,0,"SERPINA3"
"cell719",0,0.032695025,"SERPINA3"
"cell720",0,0.011403978,"SERPINA3"
"cell722",0,0,"SERPINA3"
"cell723",0,0.14775613,"SERPINA3"
"cell724",0,0.0102141565,"SERPINA3"
"cell727",0,0,"SERPINA3"
"cell735",0,0,"SERPINA3"
"cell736",0,0.0038655878,"SERPINA3"
"cell738",0,0.39194274,"SERPINA3"
"cell739",0,0,"SERPINA3"
"cell742",0,0.34981224,"SERPINA3"
"cell747",0,0.07820729,"SERPINA3"
"cell748",0,0.03506986,"SERPINA3"
"cell751",0,0.23789969,"SERPINA3"
"cell752",1.25685554449114,0.4922324,"SERPINA3"
"cell755",0,0.049224947,"SERPINA3"
"cell756",0,0.13975011,"SERPINA3"
"cell759",0,0.13960615,"SERPINA3"
"cell762",0,0.34434792,"SERPINA3"
"cell763",0,0.32040367,"SERPINA3"
"cell764",1.35478302662462,0.030256564,"SERPINA3"
"cell765",1.21836762880007,0.38026235,"SERPINA3"
"cell766",0,0.28148675,"SERPINA3"
"cell769",0,0.05747,"SERPINA3"
"cell771",0,0.31008887,"SERPINA3"
"cell772",0,0.28191215,"SERPINA3"
"cell774",0,0,"SERPINA3"
"cell775",0,0.006042102,"SERPINA3"
"cell777",0,0.018027214,"SERPINA3"
"cell779",0,0,"SERPINA3"
"cell780",0,0.10759939,"SERPINA3"
"cell781",0,0.3350083,"SERPINA3"
"cell782",0,0.043696683,"SERPINA3"
"cell784",0,0.23031186,"SERPINA3"
"cell785",0,0.0037241727,"SERPINA3"
"cell789",0,0,"SERPINA3"
"cell792",0,0,"SERPINA3"
"cell793",0,0,"SERPINA3"
"cell795",0,0.04014307,"SERPINA3"
"cell796",0,0,"SERPINA3"
"cell797",0,0.027382715,"SERPINA3"
"cell798",0,0.0460794,"SERPINA3"
"cell799",0,0.26377866,"SERPINA3"
"cell801",0,0,"SERPINA3"
"cell802",0,0,"SERPINA3"
"cell803",0,0.034299072,"SERPINA3"
"cell806",0,0.013581971,"SERPINA3"
"cell807",0,0,"SERPINA3"
"cell808",0,0.077398896,"SERPINA3"
"cell809",0,0,"SERPINA3"
"cell811",0,0,"SERPINA3"
"cell813",0,0,"SERPINA3"
"cell815",0,0.08938543,"SERPINA3"
"cell817",0,0,"SERPINA3"
"cell822",0,0,"SERPINA3"
"cell824",0,0,"SERPINA3"
"cell826",0,0.4024005,"SERPINA3"
"cell828",0,0,"SERPINA3"
"cell830",0,0.054848272,"SERPINA3"
"cell831",0,0,"SERPINA3"
"cell832",0,0,"SERPINA3"
"cell833",0,0,"SERPINA3"
"cell834",0,0.24547087,"SERPINA3"
"cell835",0,0,"SERPINA3"
"cell837",0,0.0712878,"SERPINA3"
"cell839",0,0,"SERPINA3"
"cell841",0,0,"SERPINA3"
"cell842",0,0.022795854,"SERPINA3"
"cell843",0,0,"SERPINA3"
"cell844",0,0,"SERPINA3"
"cell846",0,0,"SERPINA3"
"cell847",0,0,"SERPINA3"
"cell848",1.67506439304406,0,"SERPINA3"
"cell849",0,0.0028498564,"SERPINA3"
"cell850",0,0,"SERPINA3"
"cell851",0,0.17224078,"SERPINA3"
"cell852",0,0,"SERPINA3"
"cell853",0,0.011785625,"SERPINA3"
"cell854",0,0,"SERPINA3"
"cell855",0,0,"SERPINA3"
"cell856",0,0,"SERPINA3"
"cell857",0,0.08810634,"SERPINA3"
"cell858",0,0,"SERPINA3"
"cell859",0,0,"SERPINA3"
"cell861",0,0,"SERPINA3"
"cell862",0,0,"SERPINA3"
"cell863",0,0.06608682,"SERPINA3"
"cell867",0,0,"SERPINA3"
"cell868",1.16048603270836,0,"SERPINA3"
"cell869",0,0.051574945,"SERPINA3"
"cell870",0,0,"SERPINA3"
"cell871",0,0.071121916,"SERPINA3"
"cell873",0,0,"SERPINA3"
"cell874",0,0,"SERPINA3"
"cell875",0,0.058743298,"SERPINA3"
"cell876",0,0,"SERPINA3"
"cell877",0,0,"SERPINA3"
"cell879",0,0.1435157,"SERPINA3"
"cell881",0,0.013670004,"SERPINA3"
"cell885",0,0,"SERPINA3"
"cell886",0,0.00328414,"SERPINA3"
"cell887",0,0,"SERPINA3"
"cell889",0,0.021223454,"SERPINA3"
"cell890",0,0,"SERPINA3"
"cell891",0,0.16409683,"SERPINA3"
"cell894",0,0.025229255,"SERPINA3"
"cell895",0,0.012487295,"SERPINA3"
"cell897",0,0.10860982,"SERPINA3"
"cell898",0,0,"SERPINA3"
"cell899",0,0.036955487,"SERPINA3"
"cell900",0,0.03742453,"SERPINA3"
"cell901",0,0,"SERPINA3"
"cell902",0,0,"SERPINA3"
"cell905",2.66347265042224,0.3866882,"SERPINA3"
"cell906",0,0,"SERPINA3"
"cell908",0,0.11907973,"SERPINA3"
"cell909",0,0,"SERPINA3"
"cell910",1.58921211942268,0.18969151,"SERPINA3"
"cell911",0,0,"SERPINA3"
"cell912",0,0.3992127,"SERPINA3"
"cell915",0,0,"SERPINA3"
"cell916",0,0.01922985,"SERPINA3"
"cell917",0,0,"SERPINA3"
"cell918",0.675431901847158,0.239326,"SERPINA3"
"cell920",1.12500770685439,0.108179055,"SERPINA3"
"cell921",0,0,"SERPINA3"
"cell922",0.879420700394755,0.14442734,"SERPINA3"
"cell926",0,0.86705047,"SERPINA3"
"cell927",1.04550849059636,0.26619986,"SERPINA3"
"cell928",0,0,"SERPINA3"
"cell929",0,0,"SERPINA3"
"cell930",0,0,"SERPINA3"
"cell935",0,0,"SERPINA3"
"cell937",0,0.13475902,"SERPINA3"
"cell938",0,0,"SERPINA3"
"cell940",0.826347468544434,0.3233578,"SERPINA3"
"cell941",0,0.0076057464,"SERPINA3"
"cell942",0,0,"SERPINA3"
"cell944",1.67002559373257,0.34330884,"SERPINA3"
"cell945",0,0,"SERPINA3"
"cell946",0,0,"SERPINA3"
"cell947",0,0.023570327,"SERPINA3"
"cell948",0,0.0057424246,"SERPINA3"
"cell952",0,0.019373624,"SERPINA3"
"cell954",0,0,"SERPINA3"
"cell955",1.09985719816673,0.44189245,"SERPINA3"
"cell956",0,0,"SERPINA3"
"cell957",0,0.013741213,"SERPINA3"
"cell959",0,0.12980077,"SERPINA3"
"cell961",0,0.082716756,"SERPINA3"
"cell962",0,0.008287409,"SERPINA3"
"cell964",0,0.0201817,"SERPINA3"
"cell965",1.13366192012317,0.1676223,"SERPINA3"
"cell966",0,0.016116424,"SERPINA3"
"cell970",0,0.14519505,"SERPINA3"
"cell971",0,0,"SERPINA3"
"cell973",1.61673288704393,0.28083885,"SERPINA3"
"cell975",0,0,"SERPINA3"
"cell980",0,0.075510055,"SERPINA3"
"cell981",0,0,"SERPINA3"
"cell983",0,0,"SERPINA3"
"cell984",0,0.0019425572,"SERPINA3"
"cell985",0,0.027580654,"SERPINA3"
"cell986",0,0,"SERPINA3"
"cell987",0,0,"SERPINA3"
"cell989",0,0.031329345,"SERPINA3"
"cell991",0,0.0018143296,"SERPINA3"
"cell992",0,0.023216564,"SERPINA3"
"cell994",0,0.2140748,"SERPINA3"
"cell995",0,0.22530365,"SERPINA3"
"cell996",0,0.012121725,"SERPINA3"
"cell997",0,0.0047475877,"SERPINA3"
"cell998",0,0.041584097,"SERPINA3"
"cell1000",0,0.05884694,"SERPINA3"
"cell1001",0,0,"SERPINA3"
"cell1002",0,0.051611103,"SERPINA3"
"cell1007",0,0.050931007,"SERPINA3"
"cell1008",0,0.14057603,"SERPINA3"
"cell1009",0,0.2063016,"SERPINA3"
"cell1010",0,0,"SERPINA3"
"cell1011",0,0.014307109,"SERPINA3"
"cell1012",0,0.041335847,"SERPINA3"
"cell1014",0,0,"SERPINA3"
"cell1017",0,0.004781836,"SERPINA3"
"cell1019",0,0.27365628,"SERPINA3"
"cell1020",0,0.055497803,"SERPINA3"
"cell1021",0,0.2016841,"SERPINA3"
"cell1023",0,0,"SERPINA3"
"cell1024",0,0.0021437437,"SERPINA3"
"cell1026",0,0.06185144,"SERPINA3"
"cell1028",1.64532697809165,0.35841087,"SERPINA3"
"cell1029",0,0,"SERPINA3"
"cell1030",0,0,"SERPINA3"
"cell1032",0,0.029315144,"SERPINA3"
"cell1034",0,0.04153755,"SERPINA3"
"cell1037",0,0,"SERPINA3"
"cell1038",0,7.3885916e-05,"SERPINA3"
"cell1039",0,0,"SERPINA3"
"cell1040",0,0,"SERPINA3"
"cell1041",0,0.05339383,"SERPINA3"
"cell1042",0,0.0018728778,"SERPINA3"
"cell1045",0,0.054621186,"SERPINA3"
"cell1047",0,0,"SERPINA3"
"cell1050",0,0.02716734,"SERPINA3"
"cell1053",0,0.022135997,"SERPINA3"
"cell1054",0,0.047444474,"SERPINA3"
"cell1056",0,0,"SERPINA3"
"cell1057",0,0,"SERPINA3"
"cell1058",0,0.060890555,"SERPINA3"
"cell1061",0,0.042198,"SERPINA3"
"cell1062",0,0.029312536,"SERPINA3"
"cell1065",0,0.013098431,"SERPINA3"
"cell1067",0,0.011032179,"SERPINA3"
"cell1070",0,0.05817535,"SERPINA3"
"cell1071",0,0.08144557,"SERPINA3"
"cell1072",0,0,"SERPINA3"
"cell1073",0,0,"SERPINA3"
"cell1074",0,0,"SERPINA3"
"cell1075",0,0.024497999,"SERPINA3"
"cell1076",0,0,"SERPINA3"
"cell1077",0,0,"SERPINA3"
"cell1078",0,0.015288651,"SERPINA3"
"cell1079",0,0.044345297,"SERPINA3"
"cell1081",0,0,"SERPINA3"
"cell1082",0,0.022931892,"SERPINA3"
"cell1085",0,0.012596897,"SERPINA3"
"cell1086",0,0.17569907,"SERPINA3"
"cell1087",0,0.0029327185,"SERPINA3"
"cell1088",0,0.11770784,"SERPINA3"
"cell1091",0,0,"SERPINA3"
"cell1092",0,0.025814766,"SERPINA3"
"cell1094",0,0.015450658,"SERPINA3"
"cell1095",0,0.20811115,"SERPINA3"
"cell1097",0,0.025344789,"SERPINA3"
"cell1098",0,0.039872523,"SERPINA3"
"cell1099",0,0,"SERPINA3"
"cell1100",0,0,"SERPINA3"
"cell1101",0,0,"SERPINA3"
"cell1102",0,0,"SERPINA3"
"cell1103",0,0.008584419,"SERPINA3"
"cell1104",0,0,"SERPINA3"
"cell1105",0,0.00092436076,"SERPINA3"
"cell1106",0,0.004898024,"SERPINA3"
"cell1107",0,0,"SERPINA3"
"cell1110",0,0,"SERPINA3"
"cell1111",0,0.040509883,"SERPINA3"
"cell1113",0,0,"SERPINA3"
"cell1114",1.06045597291991,0.08295224,"SERPINA3"
"cell1115",0,0.24810973,"SERPINA3"
"cell1116",0,0.005851898,"SERPINA3"
"cell1120",0,0,"SERPINA3"
"cell1122",1.20830002371469,0.1525483,"SERPINA3"
"cell1123",0,0,"SERPINA3"
"cell1125",0,0,"SERPINA3"
"cell1129",0,0.02492014,"SERPINA3"
"cell1130",0.940036400919367,0.15336572,"SERPINA3"
"cell1131",0,0,"SERPINA3"
"cell1132",0.678441939077462,0.0045609,"SERPINA3"
"cell1134",0,0.014389882,"SERPINA3"
"cell1136",0,0.015838087,"SERPINA3"
"cell1137",0,0.018536156,"SERPINA3"
"cell1138",0,0.009162414,"SERPINA3"
"cell1139",0,0,"SERPINA3"
"cell1144",0.964282275489023,0.2767826,"SERPINA3"
"cell1145",0,0.062590204,"SERPINA3"
"cell1147",0,0.08823573,"SERPINA3"
"cell1148",0,0.017711682,"SERPINA3"
"cell1151",0,0,"SERPINA3"
"cell1152",0,0.078442715,"SERPINA3"
"cell1153",0,0.024563728,"SERPINA3"
"cell1154",0,0.04437366,"SERPINA3"
"cell1155",0,0,"SERPINA3"
"cell1160",0,0.026013577,"SERPINA3"
"cell1162",0,0.012129596,"SERPINA3"
"cell1163",0,0.0061885654,"SERPINA3"
"cell1164",0,0,"SERPINA3"
"cell1166",0,0.08441757,"SERPINA3"
"cell1168",0,0.03693063,"SERPINA3"
"cell1171",0,0.03273079,"SERPINA3"
"cell1173",0,0,"SERPINA3"
"cell1176",0,0,"SERPINA3"
"cell1178",0,0,"SERPINA3"
"cell1180",0,0,"SERPINA3"
"cell1189",0,0.0016808034,"SERPINA3"
"cell1190",0,0,"SERPINA3"
"cell1191",0,0,"SERPINA3"
"cell1192",0,0.7117712,"SERPINA3"
"cell1193",0,0.8444578,"SERPINA3"
"cell1194",0,0,"SERPINA3"
"cell1195",0,0.468672,"SERPINA3"
"cell1196",0,0,"SERPINA3"
"cell1199",0,0.022460217,"SERPINA3"
"cell1201",0,0,"SERPINA3"
"cell1202",0,0,"SERPINA3"
"cell1206",0,0.5581164,"SERPINA3"
"cell1210",0,0.033937737,"SERPINA3"
"cell1213",0,0.40345904,"SERPINA3"
"cell1215",0,0.57014245,"SERPINA3"
"cell1216",0,0.023675626,"SERPINA3"
"cell1218",0,0.14824325,"SERPINA3"
"cell1219",0,0.04163009,"SERPINA3"
"cell1220",0,0.04049106,"SERPINA3"
"cell1221",0,0.18656783,"SERPINA3"
"cell1223",0,0.033974145,"SERPINA3"
"cell1225",0,0.023602484,"SERPINA3"
"cell1227",0,0.08882429,"SERPINA3"
"cell1228",0,0.012244925,"SERPINA3"
"cell1230",0,0.03640242,"SERPINA3"
"cell1232",0,0.0828712,"SERPINA3"
"cell1233",0,0.21937267,"SERPINA3"
